LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,UNNAMED: 64
STATE,2001,WEST BENGAL,Urban,4601261,22427251,11849976,10577275,2295219,1178368,1116851,2927630,1518822,1408808,270428,138693,131735,16356374,9191040,7165334,6070877,2658936,3411941,7592048,6368163,1223885,6917003,5943106,973897,58549,49871,8678,78019,65994,12025,350402,220367,130035,6430033,5606874,823159,675045,425057,249988,9525,5921,3604,44421,29332,15089,103345,31726,71619,517754,358078,159676,14835203,5481813,9353390,
STATE,2001,WEST BENGAL,Rural,11270822,57748946,29616009,28132937,9119003,4645812,4473191,15524925,7950837,7574088,4136366,2085231,2051135,30840027,18261386,12578641,26908919,11354623,15554296,21889642,16019881,5869761,16106580,13551865,2554715,4497477,4133017,364460,4444915,3678911,766004,1085976,557679,528297,6078212,5182258,895954,5783062,2468016,3315046,1088371,466401,621970,2795602,1305999,1489603,632347,107408,524939,1266742,588208,678534,35859304,13596128,22263176,
STATE,2001,UTTARANCHAL,Urban,417505,2179074,1181334,997740,287672,153701,133971,261064,138685,122379,15920,8526,7394,1540435,894555,645880,638639,286779,351860,635194,559466,75728,576785,515317,61468,11741,8286,3455,10190,9007,1183,12003,9101,2902,542851,488923,53928,58409,44149,14260,2173,677,1496,4973,3498,1475,3591,1240,2351,47672,38734,8938,1543880,621868,922012,
STATE,2001,UTTARANCHAL,Rural,1185737,6310275,3144590,3165685,1072360,559248,513112,1256122,642087,614035,240209,122808,117401,3565347,2114320,1451027,2744928,1030270,1714658,2498842,1436711,1062131,1745562,1123925,621637,1055906,522717,533189,132434,113792,18642,37024,25804,11220,520198,461612,58586,753280,312786,440494,500296,152742,347554,112086,64197,47889,19830,7599,12231,121068,88248,32820,3811433,1707879,2103554,
STATE,2001,UTTAR PRADESH,Urban,5384559,34539582,18407899,16131683,5365415,2838591,2526824,4331781,2317998,2013783,12135,6558,5577,20349500,11951234,8398266,14190082,6456665,7733417,9307872,8210873,1096999,8094895,7363191,731704,373891,340908,32983,289052,259671,29381,675830,531920,143910,6756122,6230692,525430,1212977,847682,365295,38872,16532,22340,180542,116880,63662,191437,74206,117231,802126,640064,162062,25231710,10197026,15034684,
STATE,2001,UTTAR PRADESH,Rural,20373081,131658339,69157470,62500869,26259213,13670442,12588771,30816596,16184840,14631756,95828,49276,46552,55369784,36950179,18419605,76288555,32207291,44081264,44675952,32770685,11905267,31242754,26975069,4267685,18105974,15985894,2120080,5667495,4556706,1110789,1416126,1079960,336166,6053159,5352509,700650,13433198,5795616,7637582,3648825,1136553,2512272,7263822,3312342,3951480,747771,260459,487312,1772780,1086262,686518,86982387,36386785,50595602,
STATE,2001,TRIPURA,Urban,124621,545750,278587,267163,53269,27342,25927,100101,50519,49582,25429,13240,12189,439324,234193,205131,106426,44394,62032,177114,143864,33250,164470,135951,28519,2227,2082,145,2505,2196,309,2238,1473,765,157500,130200,27300,12644,7913,4731,202,116,86,915,707,208,958,223,735,10569,6867,3702,368636,134723,233913,
STATE,2001,TRIPURA,Rural,539713,2653453,1363638,1289815,383177,194660,188517,455623,232667,222956,967997,491080,476917,1582775,916514,666261,1070678,447124,623554,982447,687482,294965,747822,606103,141719,250116,201744,48372,166014,124981,41033,17658,10728,6930,314034,268650,45384,234625,81379,153246,60755,17020,43735,106698,34756,71942,14438,2406,12032,52734,27197,25537,1671006,676156,994850,
STATE,2001,TAMIL NADU,Urban,6381600,27483998,13869415,13614583,3002516,1535621,1466895,3548614,1773743,1774871,100178,50171,50007,20205047,10973973,9231074,7278951,2895442,4383509,10318514,7739671,2578843,9467240,7264121,2203119,322620,224050,98570,862684,505575,357109,572905,279999,292906,7709031,6254497,1454534,851274,475550,375724,20391,9034,11357,241180,108772,132408,81130,18413,62717,508573,339331,169242,17165484,6129744,11035740,
STATE,2001,TAMIL NADU,Rural,8284383,34921681,17531494,17390187,4232644,2189995,2042649,8308890,4159182,4149708,551143,278746,272397,20319498,11835689,8483809,14602183,5695805,8906378,17559768,10360726,7199042,14290543,9039189,5251354,4416199,2883493,1532706,5200102,2768067,2432035,688154,314026,374128,3986088,3073603,912485,3269225,1321537,1947688,356829,145912,210917,2333664,873946,1459718,157572,36151,121421,421160,265528,155632,17361913,7170768,10191145,
