LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
STATE,2011,WEST BENGAL,Urban,6567150,29093002,14964082,14128920,2760756,1417741,1343015,4368163,2239010,2129153,441838,221917,219921,22324502,11970613,10353889,6768500,2993469,3775031,10673874,8504867,2169007,9197145,7658364,1538781,122286,110343,11943,229143,198155,30988,643037,398759,244278,8202679,6951107,1251572,1476729,846503,630226,41859,21416,20443,115883,82060,33823,214559,68682,145877,1104428,674345,430083,1222464,698161,524303,37072,18495,18577,91338,65794,25544,170369,55070,115299,923685,558802,364883,254265,148342,105923,4787,2921,1866,24545,16266,8279,44190,13612,30578,180743,115543,65200,18419128,6459215,11959913
STATE,2011,WEST BENGAL,Rural,13813165,62183113,31844945,30338168,7820710,3992655,3828055,17095107,8764294,8330813,4855115,2428057,2427058,39213779,21848197,17365582,22969334,9996748,12972586,24082481,18211180,5871301,16489485,14019915,2469570,4081481,3830056,251425,5640355,4744931,895424,875091,470280,404811,5892558,4974648,917910,7592996,4191265,3401731,871062,538226,332836,4203461,2427668,1775793,731437,176962,554475,1787036,1048409,738627,5825830,3317706,2508124,661134,421969,239165,3209279,1916691,1292588,544103,135360,408743,1411314,843686,567628,1767166,873559,893607,209928,116257,93671,994182,510977,483205,187334,41602,145732,375722,204723,170999,38100632,13633765,24466867
STATE,2011,UTTARAKHAND,Urban,631889,3049338,1618731,1430607,365038,195407,169631,395851,207483,188368,27084,13978,13106,2266903,1267537,999366,782435,351194,431241,986742,825247,161495,873292,748237,125055,17751,13003,4748,21727,18427,3300,30355,24037,6318,803459,692770,110689,113450,77010,36440,4042,1788,2254,8733,6204,2529,7017,3358,3659,93658,65660,27998,98009,66778,31231,3448,1570,1878,7058,5131,1927,5609,2778,2831,81894,57299,24595,15441,10232,5209,594,218,376,1675,1073,602,1408,580,828,11764,8361,3403,2062596,793484,1269112
STATE,2011,UTTARAKHAND,Rural,1425086,7036954,3519042,3517912,990776,521792,468984,1496665,761103,735562,264819,134691,130128,4614050,2596171,2017879,2422904,922871,1500033,2885533,1726674,1158859,1997332,1322523,674809,1027923,532558,495365,225529,177948,47581,46685,30064,16621,697195,581953,115242,888201,404151,484050,530707,188063,342644,147312,83961,63351,30255,11832,18423,179927,120295,59632,658831,306695,352136,379911,132488,247423,113491,67896,45595,22695,8966,13729,142734,97345,45389,229370,97456,131914,150796,55575,95221,33821,16065,17756,7560,2866,4694,37193,22950,14243,4151421,1792368,2359053
STATE,2011,UTTAR PRADESH,Urban,7762093,44495063,23487515,21007548,5750748,3049986,2700762,5672381,3013055,2659326,103197,54768,48429,29112875,16441276,12671599,15382188,7046239,8335949,13863735,11493883,2369852,11096675,9607952,1488723,473084,427618,45466,655706,572118,83588,924306,706735,217571,9043579,7901481,1142098,2767060,1885931,881129,83822,53631,30191,372938,273491,99447,286434,152505,133929,2023866,1406304,617562,2393281,1625031,768250,75325,48282,27043,307291,229097,78194,231901,124813,107088,1778764,1222839,555925,373779,260900,112879,8497,5349,3148,65647,44394,21253,54533,27692,26841,245102,183465,61637,30631328,11993632,18637696
STATE,2011,UTTAR PRADESH,Rural,25685942,155317278,80992995,74324283,25040583,13135595,11904988,35685227,18663920,17021307,1031076,526315,504761,85284680,51793688,33490992,70032598,29199307,40833291,51950980,38352879,13598101,33538817,27812347,5726470,15103331,13299811,1803520,9094209,7205459,1888750,1485130,962736,522394,7856147,6344341,1511806,18412163,10540532,7871631,3397651,1730473,1667178,9816370,5752374,4063996,1202720,532160,670560,3995422,2525525,1469897,14491868,8531773,5960095,2584473,1355428,1229045,7740137,4685254,3054883,890292,403454,486838,3276966,2087637,1189329,3920295,2008759,1911536,813178,375045,438133,2076233,1067120,1009113,312428,128706,183722,718456,437888,280568,103366298,42640116,60726182
STATE,2011,TRIPURA,Urban,238974,961453,487203,474250,92705,47608,45097,216925,109872,107053,49247,24419,24828,812010,419866,392144,149443,67337,82106,353445,277559,75886,300436,250858,49578,8846,8136,710,9935,8203,1732,4872,3425,1447,276783,231094,45689,53009,26701,26308,1372,781,591,4761,2545,2216,3329,923,2406,43547,22452,21095,40033,22002,18031,1222,688,534,3748,2049,1699,2409,682,1727,32654,18583,14071,12976,4699,8277,150,93,57,1013,496,517,920,241,679,10893,3869,7024,608008,209644,398364
STATE,2011,TRIPURA,Rural,616582,2712464,1387173,1325291,365309,186400,178909,437993,224498,213495,1117566,563908,553658,1992773,1081503,911270,719691,305670,414021,1116076,767767,348309,776583,637023,139560,237861,201981,35880,191928,148647,43281,14424,9389,5035,332370,277006,55364,339493,130744,208749,47868,17970,29898,146994,54711,92283,18871,3748,15123,125760,54315,71445,258529,104727,153802,39459,14917,24542,121257,45946,75311,13835,2723,11112,83978,41141,42837,80964,26017,54947,8409,3053,5356,25737,8765,16972,5036,1025,4011,41782,13174,28608,1596388,619406,976982
STATE,2011,TAMIL NADU,Urban,8996487,34917440,17458910,17458530,3512530,1799726,1712804,4962970,2468684,2494286,134417,67890,66527,27335312,14374652,12960660,7582128,3084258,4497870,14023351,10220443,3802908,12603065,9408720,3194345,329001,235294,93707,981158,567976,413182,563839,271914,291925,10729067,8333536,2395531,1420286,811723,608563,33799,20874,12925,217288,112532,104756,99357,30015,69342,1069842,648302,421540,1208571,692356,516215,31109,19115,11994,181335,95326,86009,75642,22950,52692,920485,554965,365520,211715,119367,92348,2690,1759,931,35953,17206,18747,23715,7065,16650,149357,93337,56020,20894089,7238467,13655622
STATE,2011,TAMIL NADU,Rural,9528495,37229590,18679065,18550525,3911302,2020550,1890752,9475475,4736003,4739472,660280,333178,327102,24502195,13665839,10836356,12727395,5013226,7714169,18861330,11214535,7646795,15339116,9552474,5786642,3526374,2276871,1249503,6252943,3240547,3012396,555619,242723,312896,5004180,3792333,1211847,3522214,1662061,1860153,359283,199440,159843,2155158,921652,1233506,146078,46480,99598,861695,494489,367206,3010774,1444865,1565909,317038,177847,139191,1858949,807778,1051171,111630,36421,75209,723157,422819,300338,511440,217196,294244,42245,21593,20652,296209,113874,182335,34448,10059,24389,138538,71670,66868,18368260,7464530,10903730
STATE,2011,SIKKIM,Urban,35718,153578,80273,73305,14893,7700,7193,7940,3958,3982,39214,19202,20012,123022,67024,55998,30556,13249,17307,64353,46172,18181,56715,41499,15216,596,362,234,428,287,141,733,582,151,54958,40268,14690,7638,4673,2965,273,96,177,678,299,379,363,209,154,6324,4069,2255,6453,3949,2504,226,76,150,507,228,279,283,172,111,5437,3473,1964,1185,724,461,47,20,27,171,71,100,80,37,43,887,596,291,89225,34101,55124
