,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,35,ANDAMAN & NICOBAR ISLANDS,0,ANDAMAN & NICOBAR ISLANDS,0,ANDAMAN & NICOBAR ISLANDS,0,ANDAMAN & NICOBAR ISLANDS
1,35,ANDAMAN & NICOBAR ISLANDS,638,Nicobars,0,Nicobars,0,Nicobars
2,35,ANDAMAN & NICOBAR ISLANDS,638,Nicobars,5916,Car Nicobar,0,Car Nicobar
3,35,ANDAMAN & NICOBAR ISLANDS,638,Nicobars,5917,Nancowry,0,Nancowry
4,35,ANDAMAN & NICOBAR ISLANDS,638,Nicobars,5918,Great Nicobar,0,Great Nicobar
5,35,ANDAMAN & NICOBAR ISLANDS,639,North  & Middle Andaman,0,North  & Middle Andaman,0,North  & Middle Andaman
6,35,ANDAMAN & NICOBAR ISLANDS,639,North  & Middle Andaman,5919,Diglipur,0,Diglipur
7,35,ANDAMAN & NICOBAR ISLANDS,639,North  & Middle Andaman,5920,Mayabunder,0,Mayabunder
8,35,ANDAMAN & NICOBAR ISLANDS,639,North  & Middle Andaman,5921,Rangat,0,Rangat
9,35,ANDAMAN & NICOBAR ISLANDS,640,South Andaman,0,South Andaman,0,South Andaman
10,35,ANDAMAN & NICOBAR ISLANDS,640,South Andaman,5922,Ferrargunj,0,Ferrargunj
11,35,ANDAMAN & NICOBAR ISLANDS,640,South Andaman,5923,Port Blair,0,Port Blair
12,35,ANDAMAN & NICOBAR ISLANDS,640,South Andaman,5923,Port Blair,804041,Port Blair (M Cl)
13,35,ANDAMAN & NICOBAR ISLANDS,640,South Andaman,5924,Little Andaman,0,Little Andaman
