,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,12,ARUNACHAL PRADESH,0,ARUNACHAL PRADESH,0,ARUNACHAL PRADESH,0,ARUNACHAL PRADESH
1,12,ARUNACHAL PRADESH,245,Tawang,0,Tawang,0,Tawang
2,12,ARUNACHAL PRADESH,245,Tawang,1556,Zemithang,0,Zemithang
3,12,ARUNACHAL PRADESH,245,Tawang,1557,Lumla,0,Lumla
4,12,ARUNACHAL PRADESH,245,Tawang,1558,Dudunghar,0,Dudunghar
5,12,ARUNACHAL PRADESH,245,Tawang,1559,Tawang,0,Tawang
6,12,ARUNACHAL PRADESH,245,Tawang,1559,Tawang,801424,Tawang (NT)
7,12,ARUNACHAL PRADESH,245,Tawang,1560,Kitpi,0,Kitpi
8,12,ARUNACHAL PRADESH,245,Tawang,1561,Jang,0,Jang
9,12,ARUNACHAL PRADESH,245,Tawang,1562,Lhou ,0,Lhou 
10,12,ARUNACHAL PRADESH,245,Tawang,1563,Mukto,0,Mukto
11,12,ARUNACHAL PRADESH,245,Tawang,1564,Bongkhar ,0,Bongkhar 
12,12,ARUNACHAL PRADESH,245,Tawang,1565,Thingbu,0,Thingbu
13,12,ARUNACHAL PRADESH,246,West Kameng,0,West Kameng,0,West Kameng
14,12,ARUNACHAL PRADESH,246,West Kameng,1566,Dirang ,0,Dirang 
15,12,ARUNACHAL PRADESH,246,West Kameng,1566,Dirang ,801425,Dirang (NT)
16,12,ARUNACHAL PRADESH,246,West Kameng,1567,Thembang ,0,Thembang 
17,12,ARUNACHAL PRADESH,246,West Kameng,1568,Nafra ,0,Nafra 
18,12,ARUNACHAL PRADESH,246,West Kameng,1569,Bomdila,0,Bomdila
19,12,ARUNACHAL PRADESH,246,West Kameng,1569,Bomdila,801426,Bomdila (NT)
20,12,ARUNACHAL PRADESH,246,West Kameng,1570,Kalaktang ,0,Kalaktang 
21,12,ARUNACHAL PRADESH,246,West Kameng,1571,Shergaon ,0,Shergaon 
22,12,ARUNACHAL PRADESH,246,West Kameng,1572,Rupa ,0,Rupa 
23,12,ARUNACHAL PRADESH,246,West Kameng,1573,Singchung ,0,Singchung 
24,12,ARUNACHAL PRADESH,246,West Kameng,1574,Jamiri ,0,Jamiri 
25,12,ARUNACHAL PRADESH,246,West Kameng,1575,Thrizino ,0,Thrizino 
26,12,ARUNACHAL PRADESH,246,West Kameng,1576,Bhalukpong,0,Bhalukpong
27,12,ARUNACHAL PRADESH,246,West Kameng,1577,Kamengbari-Doimara,0,Kamengbari-Doimara
28,12,ARUNACHAL PRADESH,246,West Kameng,1578,Balemu ,0,Balemu 
29,12,ARUNACHAL PRADESH,247,East Kameng,0,East Kameng,0,East Kameng
30,12,ARUNACHAL PRADESH,247,East Kameng,1579,Seijosa ,0,Seijosa 
31,12,ARUNACHAL PRADESH,247,East Kameng,1580,Dissing-Passo ,0,Dissing-Passo 
32,12,ARUNACHAL PRADESH,247,East Kameng,1581,Pakke-Kessang ,0,Pakke-Kessang 
33,12,ARUNACHAL PRADESH,247,East Kameng,1582,Pizirang(Veo),0,Pizirang(Veo)
34,12,ARUNACHAL PRADESH,247,East Kameng,1583,Richukrong,0,Richukrong
35,12,ARUNACHAL PRADESH,247,East Kameng,1584,Seppa ,0,Seppa 
36,12,ARUNACHAL PRADESH,247,East Kameng,1584,Seppa ,801427,Seppa (NT)
37,12,ARUNACHAL PRADESH,247,East Kameng,1585,Lada ,0,Lada 
38,12,ARUNACHAL PRADESH,247,East Kameng,1586,Bameng ,0,Bameng 
39,12,ARUNACHAL PRADESH,247,East Kameng,1587,Pipu-Dipu ,0,Pipu-Dipu 
40,12,ARUNACHAL PRADESH,247,East Kameng,1588,Gyawe Purang ,0,Gyawe Purang 
41,12,ARUNACHAL PRADESH,247,East Kameng,1589,Khenewa ,0,Khenewa 
42,12,ARUNACHAL PRADESH,247,East Kameng,1590,Chayangtajo ,0,Chayangtajo 
43,12,ARUNACHAL PRADESH,247,East Kameng,1591,Sawa ,0,Sawa 
44,12,ARUNACHAL PRADESH,248,Papum Pare,0,Papum Pare,0,Papum Pare
45,12,ARUNACHAL PRADESH,248,Papum Pare,1592,Balijan,0,Balijan
46,12,ARUNACHAL PRADESH,248,Papum Pare,1593,Banderdawa ,0,Banderdawa 
47,12,ARUNACHAL PRADESH,248,Papum Pare,1594,Sangdupota (Besar Nello),0,Sangdupota (Besar Nello)
48,12,ARUNACHAL PRADESH,248,Papum Pare,1595,Taraso ,0,Taraso 
49,12,ARUNACHAL PRADESH,248,Papum Pare,1596,Itanagar ,0,Itanagar 
50,12,ARUNACHAL PRADESH,248,Papum Pare,1596,Itanagar ,801428,Itanagar (NT)
51,12,ARUNACHAL PRADESH,248,Papum Pare,1597,Naharlagun ,0,Naharlagun 
52,12,ARUNACHAL PRADESH,248,Papum Pare,1597,Naharlagun ,801429,Naharlagun (NT)
53,12,ARUNACHAL PRADESH,248,Papum Pare,1598,Doimukh ,0,Doimukh 
