,Unnamed: 0,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,0,18,ASSAM,0,ASSAM,0,ASSAM,0,ASSAM
1,1,18,ASSAM,300,Kokrajhar,0,Kokrajhar,0,Kokrajhar
2,2,18,ASSAM,300,Kokrajhar,2001,Gossaigaon (Pt),0,Gossaigaon (Pt)
3,3,18,ASSAM,300,Kokrajhar,2001,Gossaigaon (Pt),801546,Gossaigaon (TC)
4,4,18,ASSAM,300,Kokrajhar,2002,Bhowraguri,0,Bhowraguri
5,5,18,ASSAM,300,Kokrajhar,2003,Dotoma,0,Dotoma
6,6,18,ASSAM,300,Kokrajhar,2004,Kokrajhar (Pt),0,Kokrajhar (Pt)
7,7,18,ASSAM,300,Kokrajhar,2004,Kokrajhar (Pt),801547,Kokrajhar (MB)
8,8,18,ASSAM,300,Kokrajhar,2007,Golokganj (Pt),0,Golokganj (Pt)
9,9,18,ASSAM,300,Kokrajhar,2008,Dhubri (Pt),0,Dhubri (Pt)
10,10,18,ASSAM,300,Kokrajhar,2005,Bagribari (Pt),0,Bagribari (Pt)
11,11,18,ASSAM,300,Kokrajhar,2009,Bilasipara (Pt),0,Bilasipara (Pt)
12,12,18,ASSAM,300,Kokrajhar,2010,Chapar (Pt),0,Chapar (Pt)
13,13,18,ASSAM,301,Dhubri,0,Dhubri,0,Dhubri
14,14,18,ASSAM,301,Dhubri,2001,Gossaigaon (Pt),0,Gossaigaon (Pt)
15,15,18,ASSAM,301,Dhubri,2006,Agamoni,0,Agamoni
16,16,18,ASSAM,301,Dhubri,2007,Golokganj (Pt),0,Golokganj (Pt)
17,17,18,ASSAM,301,Dhubri,2008,Dhubri (Pt),0,Dhubri (Pt)
18,18,18,ASSAM,301,Dhubri,2008,Dhubri (Pt),801548,Gauripur (TC)
19,19,18,ASSAM,301,Dhubri,2008,Dhubri (Pt),801549,Dhubri (MB)
20,20,18,ASSAM,301,Dhubri,2005,Bagribari (Pt),0,Bagribari (Pt)
21,21,18,ASSAM,301,Dhubri,2005,Bagribari (Pt),801550,Sapatgram (TC)
22,22,18,ASSAM,301,Dhubri,2009,Bilasipara (Pt),0,Bilasipara (Pt)
23,23,18,ASSAM,301,Dhubri,2009,Bilasipara (Pt),801551,Bilasipara (TC)
24,24,18,ASSAM,301,Dhubri,2010,Chapar (Pt),0,Chapar (Pt)
25,25,18,ASSAM,301,Dhubri,2010,Chapar (Pt),801552,Chapar (TC)
26,26,18,ASSAM,301,Dhubri,2011,South Salmara,0,South Salmara
27,27,18,ASSAM,301,Dhubri,2012,Mankachar,0,Mankachar
28,28,18,ASSAM,302,Goalpara,0,Goalpara,0,Goalpara
29,29,18,ASSAM,302,Goalpara,2013,Lakhipur,0,Lakhipur
30,30,18,ASSAM,302,Goalpara,2013,Lakhipur,801553,Lakhipur (TC)
31,31,18,ASSAM,302,Goalpara,2014,Balijana,0,Balijana
32,32,18,ASSAM,302,Goalpara,2014,Balijana,801554,Goalpara (MB)
33,33,18,ASSAM,302,Goalpara,2015,Matia,0,Matia
34,34,18,ASSAM,302,Goalpara,2016,Dudhnai,0,Dudhnai
35,35,18,ASSAM,302,Goalpara,2017,Rangjuli,0,Rangjuli
36,36,18,ASSAM,303,Barpeta,0,Barpeta,0,Barpeta
37,37,18,ASSAM,303,Barpeta,2018,Barnagar (Pt),0,Barnagar (Pt)
38,38,18,ASSAM,303,Barpeta,2018,Barnagar (Pt),801555,Barpeta Road (MB)
39,39,18,ASSAM,303,Barpeta,2018,Barnagar (Pt),801556,Sarbhog (TC)
40,40,18,ASSAM,303,Barpeta,2019,Kalgachia,0,Kalgachia
41,41,18,ASSAM,303,Barpeta,2020,Baghbor,0,Baghbor
42,42,18,ASSAM,303,Barpeta,2021,Chenga,0,Chenga
43,43,18,ASSAM,303,Barpeta,2022,Barpeta,0,Barpeta
44,44,18,ASSAM,303,Barpeta,2022,Barpeta,801557,Barpeta (MB)
45,45,18,ASSAM,303,Barpeta,2022,Barpeta,801558,Howli (TC)
46,46,18,ASSAM,303,Barpeta,2023,Sarthebari,0,Sarthebari
47,47,18,ASSAM,303,Barpeta,2023,Sarthebari,801559,Sarthebari (TC)
48,48,18,ASSAM,303,Barpeta,2024,Bajali (Pt),0,Bajali (Pt)
49,49,18,ASSAM,303,Barpeta,2024,Bajali (Pt),801560,Pathsala (TC)
50,50,18,ASSAM,303,Barpeta,2025,Sarupeta (Pt),0,Sarupeta (Pt)
51,51,18,ASSAM,303,Barpeta,2140,Jalah (Pt),0,Jalah (Pt)
52,52,18,ASSAM,304,Morigaon,0,Morigaon,0,Morigaon
53,53,18,ASSAM,304,Morigaon,2026,Mayong,0,Mayong
54,54,18,ASSAM,304,Morigaon,2027,Bhuragaon,0,Bhuragaon
55,55,18,ASSAM,304,Morigaon,2028,Laharighat,0,Laharighat
56,56,18,ASSAM,304,Morigaon,2029,Marigaon,0,Marigaon
57,57,18,ASSAM,304,Morigaon,2029,Marigaon,801561,Marigaon (MB)
58,58,18,ASSAM,304,Morigaon,2030,Mikirbheta,0,Mikirbheta
59,59,18,ASSAM,305,Nagaon,0,Nagaon,0,Nagaon
60,60,18,ASSAM,305,Nagaon,2031,Kaliabor,0,Kaliabor
61,61,18,ASSAM,305,Nagaon,2032,Samaguri,0,Samaguri
62,62,18,ASSAM,305,Nagaon,2033,Rupahi,0,Rupahi
63,63,18,ASSAM,305,Nagaon,2034,Dhing,0,Dhing
64,64,18,ASSAM,305,Nagaon,2034,Dhing,801562,Dhing (TC)
65,65,18,ASSAM,305,Nagaon,2035,Nagaon,0,Nagaon
66,66,18,ASSAM,305,Nagaon,2035,Nagaon,801563,Nagaon (MB + OG)
67,67,18,ASSAM,305,Nagaon,2035,Nagaon,801563,Nagaon (MB)
68,68,18,ASSAM,305,Nagaon,2036,Raha,0,Raha
69,69,18,ASSAM,305,Nagaon,2036,Raha,801564,Raha (TC)
70,70,18,ASSAM,305,Nagaon,2037,Kampur,0,Kampur
71,71,18,ASSAM,305,Nagaon,2037,Kampur,801565,Kampur Town (TC)
72,72,18,ASSAM,305,Nagaon,2038,Hojai,0,Hojai
73,73,18,ASSAM,305,Nagaon,2038,Hojai,801566,Hojai (MB)
74,74,18,ASSAM,305,Nagaon,2039,Doboka,0,Doboka
75,75,18,ASSAM,305,Nagaon,2039,Doboka,801567,Doboka (TC)
76,76,18,ASSAM,305,Nagaon,2040,Lanka,0,Lanka
77,77,18,ASSAM,305,Nagaon,2040,Lanka,801568,Lumding (MB)
78,78,18,ASSAM,305,Nagaon,2040,Lanka,801569,Lanka (MB)
79,79,18,ASSAM,306,Sonitpur,0,Sonitpur,0,Sonitpur
80,80,18,ASSAM,306,Sonitpur,2041,Dhekiajuli (Pt),0,Dhekiajuli (Pt)
81,81,18,ASSAM,306,Sonitpur,2041,Dhekiajuli (Pt),801570,Dhekiajuli (MB)
82,82,18,ASSAM,306,Sonitpur,2042,Chariduar,0,Chariduar
83,83,18,ASSAM,306,Sonitpur,2042,Chariduar,801571,Rangapara (TC)
84,84,18,ASSAM,306,Sonitpur,2043,Tezpur,0,Tezpur
85,85,18,ASSAM,306,Sonitpur,2043,Tezpur,801572,Tezpur (MB + OG)
86,86,18,ASSAM,306,Sonitpur,2043,Tezpur,801572,Tezpur (MB)
87,87,18,ASSAM,306,Sonitpur,2044,Na-Duar,0,Na-Duar
88,88,18,ASSAM,306,Sonitpur,2045,Biswanath,0,Biswanath
89,89,18,ASSAM,306,Sonitpur,2045,Biswanath,801573,Biswanath Chariali (TC)
90,90,18,ASSAM,306,Sonitpur,2046,Helem,0,Helem
91,91,18,ASSAM,306,Sonitpur,0,Sonitpur,801574,Gohpur (TC)
92,92,18,ASSAM,306,Sonitpur,2046,Helem,801574,Gohpur (TC) (Part)
93,93,18,ASSAM,306,Sonitpur,2047,Gohpur,0,Gohpur
