,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,10,BIHAR,0,BIHAR,0,BIHAR,0,BIHAR
1,10,BIHAR,203,Pashchim Champaran,0,Pashchim Champaran,0,Pashchim Champaran
2,10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,0,Sidhaw
3,10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,0,Ramnagar
4,10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,801277,Ramnagar (NP)
5,10,BIHAR,203,Pashchim Champaran,1015,Gaunaha,0,Gaunaha
6,10,BIHAR,203,Pashchim Champaran,1016,Mainatanr,0,Mainatanr
7,10,BIHAR,203,Pashchim Champaran,1017,Narkatiaganj,0,Narkatiaganj
8,10,BIHAR,203,Pashchim Champaran,1017,Narkatiaganj,801278,Narkatiaganj (Nagar Parishad)
9,10,BIHAR,203,Pashchim Champaran,1018,Lauriya,0,Lauriya
10,10,BIHAR,203,Pashchim Champaran,1019,Bagaha,0,Bagaha
11,10,BIHAR,203,Pashchim Champaran,1019,Bagaha,801279,Bagaha (Nagar Parishad)
12,10,BIHAR,203,Pashchim Champaran,1020,Piprasi,0,Piprasi
13,10,BIHAR,203,Pashchim Champaran,1021,Madhubani,0,Madhubani
14,10,BIHAR,203,Pashchim Champaran,1022,Bhitaha,0,Bhitaha
15,10,BIHAR,203,Pashchim Champaran,1023,Thakrahan,0,Thakrahan
16,10,BIHAR,203,Pashchim Champaran,1024,Jogapatti,0,Jogapatti
17,10,BIHAR,203,Pashchim Champaran,1025,Chanpatia,0,Chanpatia
18,10,BIHAR,203,Pashchim Champaran,1025,Chanpatia,801280,Chanpatia (NP)
19,10,BIHAR,203,Pashchim Champaran,1026,Sikta,0,Sikta
20,10,BIHAR,203,Pashchim Champaran,1027,Majhaulia,0,Majhaulia
21,10,BIHAR,203,Pashchim Champaran,1028,Bettiah,0,Bettiah
22,10,BIHAR,203,Pashchim Champaran,1028,Bettiah,801281,Bettiah (Nagar Parishad)
23,10,BIHAR,203,Pashchim Champaran,1029,Bairia,0,Bairia
24,10,BIHAR,203,Pashchim Champaran,1030,Nautan,0,Nautan
25,10,BIHAR,204,Purba Champaran,0,Purba Champaran,0,Purba Champaran
26,10,BIHAR,204,Purba Champaran,1031,Raxaul,0,Raxaul
27,10,BIHAR,204,Purba Champaran,1031,Raxaul,801282,Raxaul Bazar  (Nagar Parishad)
28,10,BIHAR,204,Purba Champaran,1032,Adapur,0,Adapur
29,10,BIHAR,204,Purba Champaran,1033,Ramgarhwa,0,Ramgarhwa
30,10,BIHAR,204,Purba Champaran,1034,Sugauli,0,Sugauli
31,10,BIHAR,204,Purba Champaran,1034,Sugauli,801283,Sugauli (NP)
32,10,BIHAR,204,Purba Champaran,1035,Banjaria,0,Banjaria
33,10,BIHAR,204,Purba Champaran,1036,Narkatia,0,Narkatia
34,10,BIHAR,204,Purba Champaran,1037,Bankatwa,0,Bankatwa
35,10,BIHAR,204,Purba Champaran,1038,Ghorasahan,0,Ghorasahan
36,10,BIHAR,204,Purba Champaran,1039,Dhaka,0,Dhaka
37,10,BIHAR,204,Purba Champaran,1039,Dhaka,801284,Dhaka (NP)
38,10,BIHAR,204,Purba Champaran,1040,Chiraia,0,Chiraia
39,10,BIHAR,204,Purba Champaran,1041,Motihari,0,Motihari
40,10,BIHAR,204,Purba Champaran,1041,Motihari,801285,Motihari (Nagar Parishad)
41,10,BIHAR,204,Purba Champaran,1042,Turkaulia,0,Turkaulia
42,10,BIHAR,204,Purba Champaran,1043,Harsidhi,0,Harsidhi
43,10,BIHAR,204,Purba Champaran,1044,Paharpur,0,Paharpur
44,10,BIHAR,204,Purba Champaran,1045,Areraj,0,Areraj
45,10,BIHAR,204,Purba Champaran,1045,Areraj,801286,Areraj (NP)
46,10,BIHAR,204,Purba Champaran,1046,Sangrampur,0,Sangrampur
47,10,BIHAR,204,Purba Champaran,1047,Kesaria,0,Kesaria
48,10,BIHAR,204,Purba Champaran,1047,Kesaria,801287,Kesaria (NP)
49,10,BIHAR,204,Purba Champaran,1048,Kalyanpur,0,Kalyanpur
50,10,BIHAR,204,Purba Champaran,1049,Kotwa,0,Kotwa
51,10,BIHAR,204,Purba Champaran,1050,Piprakothi,0,Piprakothi
52,10,BIHAR,204,Purba Champaran,1051,Chakia(Pipra),0,Chakia(Pipra)
53,10,BIHAR,204,Purba Champaran,1051,Chakia(Pipra),801288,Chakia (NP)
54,10,BIHAR,204,Purba Champaran,1052,Pakri Dayal,0,Pakri Dayal
55,10,BIHAR,204,Purba Champaran,1052,Pakri Dayal,801289,Pakri Dayal (NP)
56,10,BIHAR,204,Purba Champaran,1053,Patahi,0,Patahi
57,10,BIHAR,204,Purba Champaran,1054,Phenhara,0,Phenhara
58,10,BIHAR,204,Purba Champaran,1055,Madhuban,0,Madhuban
59,10,BIHAR,204,Purba Champaran,1055,Madhuban,801290,Madhuban (NP)
60,10,BIHAR,204,Purba Champaran,1056,Tetaria,0,Tetaria
61,10,BIHAR,204,Purba Champaran,1057,Mehsi,0,Mehsi
62,10,BIHAR,204,Purba Champaran,1057,Mehsi,801291,Mehsi (NP)
63,10,BIHAR,205,Sheohar,0,Sheohar,0,Sheohar
64,10,BIHAR,205,Sheohar,1058,Purnahiya,0,Purnahiya
65,10,BIHAR,205,Sheohar,1059,Piprarhi,0,Piprarhi
66,10,BIHAR,205,Sheohar,1060,Sheohar,0,Sheohar
67,10,BIHAR,205,Sheohar,1060,Sheohar,801292,Sheohar (NP)
68,10,BIHAR,205,Sheohar,1061,Dumri Katsari,0,Dumri Katsari
69,10,BIHAR,205,Sheohar,1062,Tariani Chowk,0,Tariani Chowk
70,10,BIHAR,206,Sitamarhi,0,Sitamarhi,0,Sitamarhi
71,10,BIHAR,206,Sitamarhi,1063,Bairgania,0,Bairgania
72,10,BIHAR,206,Sitamarhi,1063,Bairgania,801293,Bairgania (NP)
73,10,BIHAR,206,Sitamarhi,1064,Suppi,0,Suppi
74,10,BIHAR,206,Sitamarhi,1065,Majorganj,0,Majorganj
75,10,BIHAR,206,Sitamarhi,1066,Sonbarsa,0,Sonbarsa
76,10,BIHAR,206,Sitamarhi,1067,Parihar,0,Parihar
77,10,BIHAR,206,Sitamarhi,1068,Sursand,0,Sursand
78,10,BIHAR,206,Sitamarhi,1069,Bathnaha,0,Bathnaha
79,10,BIHAR,206,Sitamarhi,1070,Riga,0,Riga
80,10,BIHAR,206,Sitamarhi,1071,Parsauni,0,Parsauni
81,10,BIHAR,206,Sitamarhi,1072,Belsand,0,Belsand
82,10,BIHAR,206,Sitamarhi,1072,Belsand,801294,Belsand (NP)
83,10,BIHAR,206,Sitamarhi,1073,Runisaidpur,0,Runisaidpur
84,10,BIHAR,206,Sitamarhi,1074,Dumra,0,Dumra
85,10,BIHAR,206,Sitamarhi,1074,Dumra,801295,Sitamarhi (Nagar Parishad)
86,10,BIHAR,206,Sitamarhi,1074,Dumra,801296,Dumra (NP)
87,10,BIHAR,206,Sitamarhi,1075,Bajpatti,0,Bajpatti
88,10,BIHAR,206,Sitamarhi,1076,Charaut,0,Charaut
89,10,BIHAR,206,Sitamarhi,1077,Pupri,0,Pupri
90,10,BIHAR,206,Sitamarhi,1077,Pupri,801297,Janakpur Road (NP)
91,10,BIHAR,206,Sitamarhi,1078,Nanpur,0,Nanpur
92,10,BIHAR,206,Sitamarhi,1079,Bokhara,0,Bokhara
93,10,BIHAR,207,Madhubani,0,Madhubani,0,Madhubani
94,10,BIHAR,207,Madhubani,1080,Madhwapur,0,Madhwapur
95,10,BIHAR,207,Madhubani,1081,Harlakhi,0,Harlakhi
96,10,BIHAR,207,Madhubani,1082,Basopatti,0,Basopatti
97,10,BIHAR,207,Madhubani,1083,Jainagar,0,Jainagar
98,10,BIHAR,207,Madhubani,1083,Jainagar,801298,Jainagar (NP)
99,10,BIHAR,207,Madhubani,1084,Ladania,0,Ladania
100,10,BIHAR,207,Madhubani,1085,Laukaha,0,Laukaha
101,10,BIHAR,207,Madhubani,1086,Laukahi,0,Laukahi
102,10,BIHAR,207,Madhubani,1087,Phulparas,0,Phulparas
103,10,BIHAR,207,Madhubani,1088,Babubarhi,0,Babubarhi
104,10,BIHAR,207,Madhubani,1089,Khajauli,0,Khajauli
105,10,BIHAR,207,Madhubani,1090,Kaluahi,0,Kaluahi
106,10,BIHAR,207,Madhubani,1091,Benipatti,0,Benipatti
107,10,BIHAR,207,Madhubani,1092,Bisfi,0,Bisfi
108,10,BIHAR,207,Madhubani,1093,Madhubani,0,Madhubani
109,10,BIHAR,207,Madhubani,1093,Madhubani,801299,Madhubani (Nagar Parishad)
110,10,BIHAR,207,Madhubani,1094,Pandaul,0,Pandaul
111,10,BIHAR,207,Madhubani,1095,Rajnagar,0,Rajnagar
112,10,BIHAR,207,Madhubani,1096,Andhratharhi,0,Andhratharhi
113,10,BIHAR,207,Madhubani,1097,Jhanjharpur,0,Jhanjharpur
114,10,BIHAR,207,Madhubani,1097,Jhanjharpur,801300,Jhanjharpur (NP)
115,10,BIHAR,207,Madhubani,1098,Ghoghardiha,0,Ghoghardiha
116,10,BIHAR,207,Madhubani,1098,Ghoghardiha,801301,Ghoghardiha (NP)
117,10,BIHAR,207,Madhubani,1099,Lakhnaur,0,Lakhnaur
118,10,BIHAR,207,Madhubani,1100,Madhepur,0,Madhepur
119,10,BIHAR,208,Supaul,0,Supaul,0,Supaul
120,10,BIHAR,208,Supaul,1101,Nirmali,0,Nirmali
121,10,BIHAR,208,Supaul,1101,Nirmali,801302,Nirmali (NP)
122,10,BIHAR,208,Supaul,1102,Basantpur,0,Basantpur
123,10,BIHAR,208,Supaul,1102,Basantpur,801303,Birpur (NP)
124,10,BIHAR,208,Supaul,1103,Chhatapur,0,Chhatapur
125,10,BIHAR,208,Supaul,1104,Pratapganj,0,Pratapganj
126,10,BIHAR,208,Supaul,1105,Raghopur,0,Raghopur
127,10,BIHAR,208,Supaul,1106,Saraigarh Bhaptiyahi,0,Saraigarh Bhaptiyahi
128,10,BIHAR,208,Supaul,1107,Kishanpur,0,Kishanpur
129,10,BIHAR,208,Supaul,1108,Marauna,0,Marauna
130,10,BIHAR,208,Supaul,1109,Supaul,0,Supaul
131,10,BIHAR,208,Supaul,1109,Supaul,801304,Supaul (Nagar Parishad)
132,10,BIHAR,208,Supaul,1110,Pipra,0,Pipra
133,10,BIHAR,208,Supaul,1111,Tribeniganj,0,Tribeniganj
134,10,BIHAR,209,Araria,0,Araria,0,Araria
135,10,BIHAR,209,Araria,1112,Narpatganj,0,Narpatganj
136,10,BIHAR,209,Araria,1113,Forbesganj,0,Forbesganj
137,10,BIHAR,209,Araria,1113,Forbesganj,801305,Jogabani (NP)
138,10,BIHAR,209,Araria,1113,Forbesganj,801306,Forbesganj (Nagar Parishad)
139,10,BIHAR,209,Araria,1114,Bhargama,0,Bhargama
