,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,2,HIMACHAL PRADESH,0,HIMACHAL PRADESH,0,HIMACHAL PRADESH,0,HIMACHAL PRADESH
1,2,HIMACHAL PRADESH,23,Chamba,0,Chamba,0,Chamba
2,2,HIMACHAL PRADESH,23,Chamba,83,Pangi,0,Pangi
3,2,HIMACHAL PRADESH,23,Chamba,84,Chaurah,0,Chaurah
4,2,HIMACHAL PRADESH,23,Chamba,85,Saluni,0,Saluni
5,2,HIMACHAL PRADESH,23,Chamba,86,Bhalai,0,Bhalai
6,2,HIMACHAL PRADESH,23,Chamba,87,Dalhousie,0,Dalhousie
7,2,HIMACHAL PRADESH,23,Chamba,87,Dalhousie,800087,Dalhousie (CB)
8,2,HIMACHAL PRADESH,23,Chamba,87,Dalhousie,800088,Dalhousie (M Cl)
9,2,HIMACHAL PRADESH,23,Chamba,88,Bhattiyat,0,Bhattiyat
10,2,HIMACHAL PRADESH,23,Chamba,88,Bhattiyat,800089,Bakloh (CB)
11,2,HIMACHAL PRADESH,23,Chamba,88,Bhattiyat,800090,Chuari Khas (NP)
12,2,HIMACHAL PRADESH,23,Chamba,89,Sihunta,0,Sihunta
13,2,HIMACHAL PRADESH,23,Chamba,90,Chamba,0,Chamba
14,2,HIMACHAL PRADESH,23,Chamba,90,Chamba,800091,Chamba (M Cl)
15,2,HIMACHAL PRADESH,23,Chamba,91,Holi,0,Holi
16,2,HIMACHAL PRADESH,23,Chamba,92,Brahmaur,0,Brahmaur
17,2,HIMACHAL PRADESH,24,Kangra,0,Kangra,0,Kangra
18,2,HIMACHAL PRADESH,24,Kangra,93,Nurpur,0,Nurpur
19,2,HIMACHAL PRADESH,24,Kangra,93,Nurpur,800092,Nurpur (M Cl)
20,2,HIMACHAL PRADESH,24,Kangra,94,Indora,0,Indora
21,2,HIMACHAL PRADESH,24,Kangra,95,Fatehpur,0,Fatehpur
22,2,HIMACHAL PRADESH,24,Kangra,96,Jawali,0,Jawali
23,2,HIMACHAL PRADESH,24,Kangra,97,Harchakian,0,Harchakian
24,2,HIMACHAL PRADESH,24,Kangra,98,Shahpur,0,Shahpur
25,2,HIMACHAL PRADESH,24,Kangra,99,Dharmsala,0,Dharmsala
26,2,HIMACHAL PRADESH,24,Kangra,99,Dharmsala,800093,Dharmsala (M Cl + OG)
27,2,HIMACHAL PRADESH,24,Kangra,99,Dharmsala,800093,Dharmsala (M Cl)
28,2,HIMACHAL PRADESH,24,Kangra,99,Dharmsala,800094,Yol (CB)
29,2,HIMACHAL PRADESH,24,Kangra,100,Kangra,0,Kangra
30,2,HIMACHAL PRADESH,24,Kangra,100,Kangra,800095,Kangra (M Cl)
31,2,HIMACHAL PRADESH,24,Kangra,101,Nagrota Bagwan,0,Nagrota Bagwan
32,2,HIMACHAL PRADESH,24,Kangra,101,Nagrota Bagwan,800096,Nagrota Bagwan (M Cl)
33,2,HIMACHAL PRADESH,24,Kangra,102,Baroh,0,Baroh
34,2,HIMACHAL PRADESH,24,Kangra,103,Dera Gopipur,0,Dera Gopipur
