,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,29,KARNATAKA,0,KARNATAKA,0,KARNATAKA,0,KARNATAKA
1,29,KARNATAKA,555,Belgaum,0,Belgaum,0,Belgaum
2,29,KARNATAKA,555,Belgaum,5433,Chikodi,0,Chikodi
3,29,KARNATAKA,555,Belgaum,5433,Chikodi,803021,Nipani  (CMC)
4,29,KARNATAKA,555,Belgaum,5433,Chikodi,803022,Sadalgi (TP)
5,29,KARNATAKA,555,Belgaum,5433,Chikodi,803023,Chikodi (TMC)
6,29,KARNATAKA,555,Belgaum,5434,Athni,0,Athni
7,29,KARNATAKA,555,Belgaum,5434,Athni,803024,Athni (TMC + OG)
8,29,KARNATAKA,555,Belgaum,5434,Athni,803024,Athni (TMC)
9,29,KARNATAKA,555,Belgaum,5435,Raybag ,0,Raybag 
10,29,KARNATAKA,555,Belgaum,5435,Raybag ,803025,Kudchi (TP)
11,29,KARNATAKA,555,Belgaum,5435,Raybag ,803026,Raybag (TP)
12,29,KARNATAKA,555,Belgaum,5436,Gokak,0,Gokak
13,29,KARNATAKA,555,Belgaum,5436,Gokak,803027,Mudalgi (TMC)
14,29,KARNATAKA,555,Belgaum,5436,Gokak,803028,Konnur (TP)
15,29,KARNATAKA,555,Belgaum,5436,Gokak,803029,Gokak Falls (NAC)
16,29,KARNATAKA,555,Belgaum,5436,Gokak,803030,Gokak (CMC)
17,29,KARNATAKA,555,Belgaum,5437,Hukeri,0,Hukeri
18,29,KARNATAKA,555,Belgaum,5437,Hukeri,803031,Sankeshwar (TMC)
19,29,KARNATAKA,555,Belgaum,5437,Hukeri,803032,Hukeri (TP)
20,29,KARNATAKA,555,Belgaum,5438,Belgaum,0,Belgaum
21,29,KARNATAKA,555,Belgaum,5438,Belgaum,803033,Belgaum (M Corp. + OG)
22,29,KARNATAKA,555,Belgaum,5438,Belgaum,803033,Belgaum (M Corp.)
23,29,KARNATAKA,555,Belgaum,5438,Belgaum,803034,Belgaum Cantonment (CB)
24,29,KARNATAKA,555,Belgaum,5439,Khanapur,0,Khanapur
25,29,KARNATAKA,555,Belgaum,5439,Khanapur,803035,Khanapur (TP)
26,29,KARNATAKA,555,Belgaum,5440,Sampgaon,0,Sampgaon
27,29,KARNATAKA,555,Belgaum,5440,Sampgaon,803036,Bail Hongal (TMC)
28,29,KARNATAKA,555,Belgaum,5441,Parasgad,0,Parasgad
29,29,KARNATAKA,555,Belgaum,5441,Parasgad,803037,Saundatti-Yellamma (TMC)
30,29,KARNATAKA,555,Belgaum,5442,Ramdurg,0,Ramdurg
31,29,KARNATAKA,555,Belgaum,5442,Ramdurg,803038,Ramdurg (TMC + OG)
32,29,KARNATAKA,555,Belgaum,5442,Ramdurg,803038,Ramdurg (TMC)
33,29,KARNATAKA,556,Bagalkot ,0,Bagalkot ,0,Bagalkot 
34,29,KARNATAKA,556,Bagalkot ,99999,Area not under any Sub-district,803039,Mahalingpur (TMC)
35,29,KARNATAKA,556,Bagalkot ,5443,Jamkhandi,0,Jamkhandi
36,29,KARNATAKA,556,Bagalkot ,5443,Jamkhandi,803040,Terdal (TMC)
37,29,KARNATAKA,556,Bagalkot ,5443,Jamkhandi,803041,Jamkhandi (CMC)
38,29,KARNATAKA,556,Bagalkot ,5443,Jamkhandi,803042,Rabkavi Banhatti (CMC)
39,29,KARNATAKA,556,Bagalkot ,5444,Bilgi,0,Bilgi
40,29,KARNATAKA,556,Bagalkot ,5444,Bilgi,803043,Bilgi (TP)
41,29,KARNATAKA,556,Bagalkot ,5445,Mudhol,0,Mudhol
42,29,KARNATAKA,556,Bagalkot ,5445,Mudhol,803044,Mudhol (TMC)
43,29,KARNATAKA,556,Bagalkot ,5446,Badami,0,Badami
44,29,KARNATAKA,556,Bagalkot ,5446,Badami,803045,Kerur (TP)
45,29,KARNATAKA,556,Bagalkot ,5446,Badami,803046,Badami (TMC)
46,29,KARNATAKA,556,Bagalkot ,5446,Badami,803047,Guledgudda (TMC)
47,29,KARNATAKA,556,Bagalkot ,5447,Bagalkot,0,Bagalkot
48,29,KARNATAKA,556,Bagalkot ,5447,Bagalkot,803048,Bagalkot (CMC)
49,29,KARNATAKA,556,Bagalkot ,5448,Hungund,0,Hungund
50,29,KARNATAKA,556,Bagalkot ,5448,Hungund,803049,Hungund (TP)
51,29,KARNATAKA,556,Bagalkot ,5448,Hungund,803050,Ilkal (CMC)
52,29,KARNATAKA,557,Bijapur,0,Bijapur,0,Bijapur
53,29,KARNATAKA,557,Bijapur,5449,Bijapur,0,Bijapur
54,29,KARNATAKA,557,Bijapur,5449,Bijapur,803051,Bijapur (CMC)
55,29,KARNATAKA,557,Bijapur,5450,Indi,0,Indi
56,29,KARNATAKA,557,Bijapur,5450,Indi,803052,Indi (TMC)
57,29,KARNATAKA,557,Bijapur,5451,Sindgi,0,Sindgi
58,29,KARNATAKA,557,Bijapur,5451,Sindgi,803053,Sindgi (TMC)
59,29,KARNATAKA,557,Bijapur,5452,Basavana Bagevadi,0,Basavana Bagevadi
60,29,KARNATAKA,557,Bijapur,5452,Basavana Bagevadi,803054,Basavana Bagevadi (TMC)
61,29,KARNATAKA,557,Bijapur,5453,Muddebihal,0,Muddebihal
62,29,KARNATAKA,557,Bijapur,5453,Muddebihal,803055,Muddebihal (TMC)
63,29,KARNATAKA,557,Bijapur,5453,Muddebihal,803056,Talikota (TMC)
64,29,KARNATAKA,558,Bidar,0,Bidar,0,Bidar
65,29,KARNATAKA,558,Bidar,5454,Basavakalyan ,0,Basavakalyan 
66,29,KARNATAKA,558,Bidar,5454,Basavakalyan ,803057,Basavakalyan (CMC)
67,29,KARNATAKA,558,Bidar,5455,Bhalki ,0,Bhalki 
68,29,KARNATAKA,558,Bidar,5455,Bhalki ,803058,Bhalki (TMC)
69,29,KARNATAKA,558,Bidar,5456,Aurad ,0,Aurad 
70,29,KARNATAKA,558,Bidar,5456,Aurad ,803059,Aurad (TP)
71,29,KARNATAKA,558,Bidar,5457,Bidar ,0,Bidar 
72,29,KARNATAKA,558,Bidar,5457,Bidar ,803060,Bidar (CMC + OG)
73,29,KARNATAKA,558,Bidar,5457,Bidar ,803060,Bidar (CMC)
74,29,KARNATAKA,558,Bidar,5458,Homnabad ,0,Homnabad 
75,29,KARNATAKA,558,Bidar,5458,Homnabad ,803061,Homnabad (TMC)
76,29,KARNATAKA,558,Bidar,5458,Homnabad ,803062,Chitgoppa (TMC)
77,29,KARNATAKA,559,Raichur,0,Raichur,0,Raichur
78,29,KARNATAKA,559,Raichur,5459,Lingsugur ,0,Lingsugur 
79,29,KARNATAKA,559,Raichur,5459,Lingsugur ,803063,Mudgal (TP)
80,29,KARNATAKA,559,Raichur,5459,Lingsugur ,803064,Lingsugur (TMC)
81,29,KARNATAKA,559,Raichur,5459,Lingsugur ,803065,Hatti Gold Mines(NAC)
82,29,KARNATAKA,559,Raichur,5460,Devadurga ,0,Devadurga 
83,29,KARNATAKA,559,Raichur,5460,Devadurga ,803066,Devadurga (TMC)
84,29,KARNATAKA,559,Raichur,5461,Raichur ,0,Raichur 
85,29,KARNATAKA,559,Raichur,5461,Raichur ,803067,Raichur (CMC)
86,29,KARNATAKA,559,Raichur,5462,Manvi ,0,Manvi 
87,29,KARNATAKA,559,Raichur,5462,Manvi ,803068,Manvi (TMC)
88,29,KARNATAKA,559,Raichur,5463,Sindhnur ,0,Sindhnur 
89,29,KARNATAKA,559,Raichur,5463,Sindhnur ,803069,Sindhnur (CMC)
90,29,KARNATAKA,560,Koppal,0,Koppal,0,Koppal
91,29,KARNATAKA,560,Koppal,5464,Yelbarga ,0,Yelbarga 
92,29,KARNATAKA,560,Koppal,5464,Yelbarga ,803070,Yelbarga (TP)
93,29,KARNATAKA,560,Koppal,5465,Kushtagi ,0,Kushtagi 
94,29,KARNATAKA,560,Koppal,5465,Kushtagi ,803071,Kushtagi (TMC)
95,29,KARNATAKA,560,Koppal,5466,Gangawati ,0,Gangawati 
96,29,KARNATAKA,560,Koppal,5466,Gangawati ,803072,Gangawati (CMC + OG)
97,29,KARNATAKA,560,Koppal,5466,Gangawati ,803072,Gangawati (CMC)
98,29,KARNATAKA,560,Koppal,5467,Koppal ,0,Koppal 
99,29,KARNATAKA,560,Koppal,5467,Koppal ,803073,Koppal (CMC)
100,29,KARNATAKA,561,Gadag,0,Gadag,0,Gadag
101,29,KARNATAKA,561,Gadag,5468,Nargund ,0,Nargund 
102,29,KARNATAKA,561,Gadag,5468,Nargund ,803074,Nargund (TMC)
103,29,KARNATAKA,561,Gadag,5469,Ron ,0,Ron 
104,29,KARNATAKA,561,Gadag,5469,Ron ,803075,Ron (TMC)
105,29,KARNATAKA,561,Gadag,5469,Ron ,803076,Gajendragarh (TMC)
106,29,KARNATAKA,561,Gadag,5469,Ron ,803077,Naregal (TP)
107,29,KARNATAKA,561,Gadag,5470,Gadag,0,Gadag
108,29,KARNATAKA,561,Gadag,5470,Gadag,803078,Gadag-Betigeri (CMC)
109,29,KARNATAKA,561,Gadag,5470,Gadag,803079,Mulgund (TP)
110,29,KARNATAKA,561,Gadag,5471,Shirhatti ,0,Shirhatti 
111,29,KARNATAKA,561,Gadag,5471,Shirhatti ,803080,Shirhatti (TP)
