,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,32,KERALA,0,KERALA,0,KERALA,0,KERALA
1,32,KERALA,588,Kasaragod,0,Kasaragod,0,Kasaragod
2,32,KERALA,588,Kasaragod,5630,Kasaragod,0,Kasaragod
3,32,KERALA,588,Kasaragod,5630,Kasaragod,803255,Kasaragod (M)
4,32,KERALA,588,Kasaragod,5631,Hosdurg,0,Hosdurg
5,32,KERALA,588,Kasaragod,5631,Hosdurg,803256,Kanhangad (M + OG)
6,32,KERALA,588,Kasaragod,5631,Hosdurg,803256,Kanhangad (M)
7,32,KERALA,589,Kannur,0,Kannur,0,Kannur
8,32,KERALA,589,Kannur,5632,Taliparamba ,0,Taliparamba 
9,32,KERALA,589,Kannur,5632,Taliparamba ,803257,Payyannur (M)
10,32,KERALA,589,Kannur,5632,Taliparamba ,803258,Taliparamba (M)
11,32,KERALA,589,Kannur,5633,Kannur,0,Kannur
12,32,KERALA,589,Kannur,5633,Kannur,803259,Kannur (M)
13,32,KERALA,589,Kannur,5633,Kannur,803260,Kannur Cantonment (CB)
14,32,KERALA,589,Kannur,5634,Thalassery,0,Thalassery
15,32,KERALA,589,Kannur,5634,Thalassery,803261,Mattannur (M)
16,32,KERALA,589,Kannur,5634,Thalassery,803262,Koothuparamba (M)
17,32,KERALA,589,Kannur,5634,Thalassery,803263,Thalassery (M)
18,32,KERALA,590,Wayanad,0,Wayanad,0,Wayanad
19,32,KERALA,590,Wayanad,5635,Mananthavady,0,Mananthavady
20,32,KERALA,590,Wayanad,5636,Sulthanbathery,0,Sulthanbathery
21,32,KERALA,590,Wayanad,5637,Vythiri,0,Vythiri
22,32,KERALA,590,Wayanad,5637,Vythiri,803264,Kalpetta (M)
23,32,KERALA,591,Kozhikode,0,Kozhikode,0,Kozhikode
24,32,KERALA,591,Kozhikode,5638,Vadakara,0,Vadakara
25,32,KERALA,591,Kozhikode,5638,Vadakara,803265,Vadakara (M)
26,32,KERALA,591,Kozhikode,5639,Quilandy,0,Quilandy
27,32,KERALA,591,Kozhikode,5639,Quilandy,803266,Quilandy (M)
28,32,KERALA,591,Kozhikode,5640,Kozhikode,0,Kozhikode
29,32,KERALA,591,Kozhikode,5640,Kozhikode,803267,Kozhikode (M Corp. + OG)
30,32,KERALA,591,Kozhikode,5640,Kozhikode,803267,Kozhikode (M Corp.)
31,32,KERALA,592,Malappuram,0,Malappuram,0,Malappuram
32,32,KERALA,592,Malappuram,5641,Ernad,0,Ernad
33,32,KERALA,592,Malappuram,5641,Ernad,803268,Manjeri (M)
34,32,KERALA,592,Malappuram,5641,Ernad,803269,Malappuram (M + OG)
35,32,KERALA,592,Malappuram,5641,Ernad,803269,Malappuram (M)
36,32,KERALA,592,Malappuram,5642,Nilambur,0,Nilambur
37,32,KERALA,592,Malappuram,5643,Perinthalmanna,0,Perinthalmanna
38,32,KERALA,592,Malappuram,5643,Perinthalmanna,803270,Perinthalmanna (M)
39,32,KERALA,592,Malappuram,5644,Tirur,0,Tirur
40,32,KERALA,592,Malappuram,5644,Tirur,803271,Tirur (M)
41,32,KERALA,592,Malappuram,5645,Tirurangadi,0,Tirurangadi
42,32,KERALA,592,Malappuram,5646,Ponnani,0,Ponnani
43,32,KERALA,592,Malappuram,5646,Ponnani,803272,Ponnani (M)
44,32,KERALA,593,Palakkad,0,Palakkad,0,Palakkad
45,32,KERALA,593,Palakkad,5647,Ottappalam,0,Ottappalam
46,32,KERALA,593,Palakkad,5647,Ottappalam,803273,Shoranur (M)
47,32,KERALA,593,Palakkad,5647,Ottappalam,803274,Ottappalam (M)
48,32,KERALA,593,Palakkad,5648,Mannarkad,0,Mannarkad
49,32,KERALA,593,Palakkad,5649,Palakkad,0,Palakkad
50,32,KERALA,593,Palakkad,5649,Palakkad,803275,Palakkad (M)
51,32,KERALA,593,Palakkad,5650,Chittur,0,Chittur
