,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,15,MIZORAM,0,MIZORAM,0,MIZORAM,0,MIZORAM
1,15,MIZORAM,281,Mamit,0,Mamit,0,Mamit
2,15,MIZORAM,281,Mamit,1896,Zawlnuam,0,Zawlnuam
3,15,MIZORAM,281,Mamit,1896,Zawlnuam,801497,Zawlnuam (NT)
4,15,MIZORAM,281,Mamit,1896,Zawlnuam,801498,Mamit (NT)
5,15,MIZORAM,281,Mamit,1897,West Phaileng,0,West Phaileng
6,15,MIZORAM,281,Mamit,1898,Reiek,0,Reiek
7,15,MIZORAM,281,Mamit,1898,Reiek,801499,Lengpui (NT)
8,15,MIZORAM,282,Kolasib,0,Kolasib,0,Kolasib
9,15,MIZORAM,282,Kolasib,1899, 'N' Thingdawl,0, 'N' Thingdawl
10,15,MIZORAM,282,Kolasib,1899, 'N' Thingdawl,801500,N. Kawnpui (NT)
11,15,MIZORAM,282,Kolasib,1900,Bilkhawthlir,0,Bilkhawthlir
12,15,MIZORAM,282,Kolasib,1900,Bilkhawthlir,801501,Vairengte (NT)
13,15,MIZORAM,282,Kolasib,1900,Bilkhawthlir,801502,Bairabi (NT)
14,15,MIZORAM,282,Kolasib,1900,Bilkhawthlir,801503,Kolasib (NT)
15,15,MIZORAM,282,Kolasib,1901,Tlangnuam (Part),0,Tlangnuam (Part)
16,15,MIZORAM,283,Aizawl,0,Aizawl,0,Aizawl
17,15,MIZORAM,283,Aizawl,1902,Darlawn,0,Darlawn
18,15,MIZORAM,283,Aizawl,1902,Darlawn,801504,Darlawn (NT)
19,15,MIZORAM,283,Aizawl,1903,Phullen,0,Phullen
20,15,MIZORAM,283,Aizawl,1904,Aibawk,0,Aibawk
21,15,MIZORAM,283,Aizawl,1901,Tlangnuam (Part),0,Tlangnuam (Part)
22,15,MIZORAM,283,Aizawl,1901,Tlangnuam (Part),801505,Sairang (NT)
23,15,MIZORAM,283,Aizawl,1901,Tlangnuam (Part),801506,Aizawl (NT)
24,15,MIZORAM,283,Aizawl,1905,Thingsulthliah (Part),0,Thingsulthliah (Part)
25,15,MIZORAM,283,Aizawl,1905,Thingsulthliah (Part),801507,Saitual (NT)
26,15,MIZORAM,284,Champhai,0,Champhai,0,Champhai
27,15,MIZORAM,284,Champhai,1906,Ngopa,0,Ngopa
28,15,MIZORAM,284,Champhai,1907,Khawzawl,0,Khawzawl
29,15,MIZORAM,284,Champhai,1907,Khawzawl,801508,Khawzawl (NT)
30,15,MIZORAM,284,Champhai,1907,Khawzawl,801509,Khawhai (NT)
31,15,MIZORAM,284,Champhai,1908,Champhai,0,Champhai
32,15,MIZORAM,284,Champhai,1908,Champhai,801510,Champhai (NT)
33,15,MIZORAM,284,Champhai,1909,Khawbung,0,Khawbung
34,15,MIZORAM,284,Champhai,1911,East Lungdar (Part),0,East Lungdar (Part)
35,15,MIZORAM,284,Champhai,1911,East Lungdar (Part),801511,Biate (NT)
36,15,MIZORAM,285,Serchhip,0,Serchhip,0,Serchhip
37,15,MIZORAM,285,Serchhip,1905,Thingsulthliah (Part),0,Thingsulthliah (Part)
38,15,MIZORAM,285,Serchhip,1910,Serchhip,0,Serchhip
39,15,MIZORAM,285,Serchhip,1910,Serchhip,801512,Serchhip (NT)
40,15,MIZORAM,285,Serchhip,1910,Serchhip,801513,Thenzawl (NT)
41,15,MIZORAM,285,Serchhip,1911,East Lungdar (Part),0,East Lungdar (Part)
42,15,MIZORAM,285,Serchhip,1911,East Lungdar (Part),801514,North Vanlaiphai (NT)
43,15,MIZORAM,286,Lunglei,0,Lunglei,0,Lunglei
44,15,MIZORAM,286,Lunglei,1912,West Bunghmun,0,West Bunghmun
45,15,MIZORAM,286,Lunglei,1913,Lungsen,0,Lungsen
46,15,MIZORAM,286,Lunglei,1913,Lungsen,801515,Tlabung (NT)
47,15,MIZORAM,286,Lunglei,1914,Lunglei,0,Lunglei
48,15,MIZORAM,286,Lunglei,1914,Lunglei,801516,Lunglei (NT)
49,15,MIZORAM,286,Lunglei,1915,Hnahthial,0,Hnahthial
50,15,MIZORAM,286,Lunglei,1915,Hnahthial,801517,Hnahthial (NT)
51,15,MIZORAM,287,Lawngtlai,0,Lawngtlai,0,Lawngtlai
52,15,MIZORAM,287,Lawngtlai,1916,Chawngte,0,Chawngte
53,15,MIZORAM,287,Lawngtlai,1917,Lawngtlai,0,Lawngtlai
54,15,MIZORAM,287,Lawngtlai,1917,Lawngtlai,801518,Lawngtlai (NT)            
55,15,MIZORAM,287,Lawngtlai,1918,S' Bungtlang ,0,S' Bungtlang 
56,15,MIZORAM,287,Lawngtlai,1919,Sangau,0,Sangau
57,15,MIZORAM,288,Saiha,0,Saiha,0,Saiha
58,15,MIZORAM,288,Saiha,1920,Tuipang,0,Tuipang
59,15,MIZORAM,288,Saiha,1921,Saiha,0,Saiha
60,15,MIZORAM,288,Saiha,1921,Saiha,801519,Saiha (NT)
