,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,13,NAGALAND,0,NAGALAND,0,NAGALAND,0,NAGALAND
1,13,NAGALAND,261,Mon,0,Mon,0,Mon
2,13,NAGALAND,261,Mon,1744,Naginimora,0,Naginimora
3,13,NAGALAND,261,Mon,1744,Naginimora,801450,Naginimora (TC)
4,13,NAGALAND,261,Mon,1745,Tizit,0,Tizit
5,13,NAGALAND,261,Mon,1746,Hunta,0,Hunta
6,13,NAGALAND,261,Mon,1747,Shangnyu,0,Shangnyu
7,13,NAGALAND,261,Mon,1748,Mon Sadar,0,Mon Sadar
8,13,NAGALAND,261,Mon,1748,Mon Sadar,801451,Mon (TC)
9,13,NAGALAND,261,Mon,1749,Wakching,0,Wakching
10,13,NAGALAND,261,Mon,1750,Aboi,0,Aboi
11,13,NAGALAND,261,Mon,1751,Longshen,0,Longshen
12,13,NAGALAND,261,Mon,1752,Phomching,0,Phomching
13,13,NAGALAND,261,Mon,1753,Chen,0,Chen
14,13,NAGALAND,261,Mon,1754,Angjangyang,0,Angjangyang
15,13,NAGALAND,261,Mon,1755,Mopong,0,Mopong
16,13,NAGALAND,261,Mon,1756,Tobu,0,Tobu
17,13,NAGALAND,261,Mon,1757,Monyakshu,0,Monyakshu
18,13,NAGALAND,262,Mokokchung,0,Mokokchung,0,Mokokchung
19,13,NAGALAND,262,Mokokchung,1758,Longchem,0,Longchem
20,13,NAGALAND,262,Mokokchung,1759,Alongkima,0,Alongkima
21,13,NAGALAND,262,Mokokchung,1760,Tuli,0,Tuli
22,13,NAGALAND,262,Mokokchung,1760,Tuli,801452,Tuli (TC)
23,13,NAGALAND,262,Mokokchung,1761,Changtongya,0,Changtongya
24,13,NAGALAND,262,Mokokchung,1761,Changtongya,801453,Changtongya (TC)
25,13,NAGALAND,262,Mokokchung,1762,Chuchuyimlang,0,Chuchuyimlang
26,13,NAGALAND,262,Mokokchung,1763,Kubolong,0,Kubolong
27,13,NAGALAND,262,Mokokchung,1764,Mangkolemba,0,Mangkolemba
28,13,NAGALAND,262,Mokokchung,1765,Merangmen,0,Merangmen
29,13,NAGALAND,262,Mokokchung,1766,Ongpangkong,0,Ongpangkong
30,13,NAGALAND,262,Mokokchung,1766,Ongpangkong,801454,Mokokchung (MC)
31,13,NAGALAND,263,Zunheboto,0,Zunheboto,0,Zunheboto
32,13,NAGALAND,263,Zunheboto,1767,V.K.,0,V.K.
33,13,NAGALAND,263,Zunheboto,1768,Akuluto,0,Akuluto
34,13,NAGALAND,263,Zunheboto,1769,Suruhuto,0,Suruhuto
35,13,NAGALAND,263,Zunheboto,1770,Asuto,0,Asuto
36,13,NAGALAND,263,Zunheboto,1771,Aghunato,0,Aghunato
37,13,NAGALAND,263,Zunheboto,1772,Zunheboto Sadar,0,Zunheboto Sadar
38,13,NAGALAND,263,Zunheboto,1772,Zunheboto Sadar,801455,Zunheboto (TC)
39,13,NAGALAND,263,Zunheboto,1773,Atoizu,0,Atoizu
40,13,NAGALAND,263,Zunheboto,1774,Akuhaito,0,Akuhaito
41,13,NAGALAND,263,Zunheboto,1775,Pughoboto,0,Pughoboto
42,13,NAGALAND,263,Zunheboto,1776,Ghathashi,0,Ghathashi
