,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,21,ODISHA,0,ODISHA,0,ODISHA,0,ODISHA
1,21,ODISHA,370,Bargarh,0,Bargarh,0,Bargarh
2,21,ODISHA,370,Bargarh,2755,Paikamal,0,Paikamal
3,21,ODISHA,370,Bargarh,2756,Jharbandha,0,Jharbandha
4,21,ODISHA,370,Bargarh,2757,Padmapur,0,Padmapur
5,21,ODISHA,370,Bargarh,2757,Padmapur,801803,Padmapur (NAC)
6,21,ODISHA,370,Bargarh,2758,Burden,0,Burden
7,21,ODISHA,370,Bargarh,2759,Gaisilet,0,Gaisilet
8,21,ODISHA,370,Bargarh,2760,Melchhamunda,0,Melchhamunda
9,21,ODISHA,370,Bargarh,2761,Sohela,0,Sohela
10,21,ODISHA,370,Bargarh,2762,Bijepur,0,Bijepur
11,21,ODISHA,370,Bargarh,2763,Barapali,0,Barapali
12,21,ODISHA,370,Bargarh,2763,Barapali,801804,Barapali (NAC)
13,21,ODISHA,370,Bargarh,2764,Bheden,0,Bheden
14,21,ODISHA,370,Bargarh,2765,Bargarh,0,Bargarh
15,21,ODISHA,370,Bargarh,2765,Bargarh,801805,Bargarh (M)
16,21,ODISHA,370,Bargarh,2766,Bargarh Sadar ,0,Bargarh Sadar 
17,21,ODISHA,370,Bargarh,2767,Bhatli,0,Bhatli
18,21,ODISHA,370,Bargarh,2768,Ambabhona,0,Ambabhona
19,21,ODISHA,370,Bargarh,2769,Attabira,0,Attabira
20,21,ODISHA,371,Jharsuguda,0,Jharsuguda,0,Jharsuguda
21,21,ODISHA,371,Jharsuguda,2770,Rengali,0,Rengali
22,21,ODISHA,371,Jharsuguda,2771,Lakhanpur,0,Lakhanpur
23,21,ODISHA,371,Jharsuguda,2772,Belpahar,0,Belpahar
24,21,ODISHA,371,Jharsuguda,2772,Belpahar,801806,Belpahar (M)
25,21,ODISHA,371,Jharsuguda,2773,Banaharapali,0,Banaharapali
26,21,ODISHA,371,Jharsuguda,2774,Orient,0,Orient
27,21,ODISHA,371,Jharsuguda,2774,Orient,801807,Brajarajnagar (M)
28,21,ODISHA,371,Jharsuguda,2775,Brajarajnagar,0,Brajarajnagar
29,21,ODISHA,371,Jharsuguda,2776,Jharsuguda,0,Jharsuguda
30,21,ODISHA,371,Jharsuguda,2776,Jharsuguda,801808,Jharsuguda (M)
31,21,ODISHA,371,Jharsuguda,2777,Badmal ,0,Badmal 
32,21,ODISHA,371,Jharsuguda,2778,Laikera,0,Laikera
33,21,ODISHA,371,Jharsuguda,2779,Kolabira,0,Kolabira
34,21,ODISHA,372,Sambalpur,0,Sambalpur,0,Sambalpur
35,21,ODISHA,372,Sambalpur,2780,Govindpur,0,Govindpur
36,21,ODISHA,372,Sambalpur,2781,Mahulpalli,0,Mahulpalli
37,21,ODISHA,372,Sambalpur,2782,Kochinda,0,Kochinda
38,21,ODISHA,372,Sambalpur,2782,Kochinda,801809,Kochinda (NAC)
39,21,ODISHA,372,Sambalpur,2783,Katarbaga,0,Katarbaga
40,21,ODISHA,372,Sambalpur,2784,Thelkoloi  ,0,Thelkoloi  
41,21,ODISHA,372,Sambalpur,2785,Rengali ,0,Rengali 
42,21,ODISHA,372,Sambalpur,2786,Sasan,0,Sasan
43,21,ODISHA,372,Sambalpur,2787,Hirakud,0,Hirakud
44,21,ODISHA,372,Sambalpur,2787,Hirakud,801810,Hirakud (NAC)
45,21,ODISHA,372,Sambalpur,2788,Burla,0,Burla
46,21,ODISHA,372,Sambalpur,2788,Burla,801811,Burla (NAC)
47,21,ODISHA,372,Sambalpur,2789,Dhanupali,0,Dhanupali
48,21,ODISHA,372,Sambalpur,2790,Ainthapali,0,Ainthapali
49,21,ODISHA,372,Sambalpur,2791,Sadar,0,Sadar
50,21,ODISHA,372,Sambalpur,2792,Jamankira,0,Jamankira
51,21,ODISHA,372,Sambalpur,2793,Kisinda,0,Kisinda
52,21,ODISHA,372,Sambalpur,2794,Jujomura,0,Jujomura
53,21,ODISHA,372,Sambalpur,2795,Dhama,0,Dhama
54,21,ODISHA,372,Sambalpur,2796,Charamal,0,Charamal
55,21,ODISHA,372,Sambalpur,2797,Rairakhol,0,Rairakhol
56,21,ODISHA,372,Sambalpur,2797,Rairakhol,801812,Redhakhol (NAC)
57,21,ODISHA,372,Sambalpur,2798,Naktideul,0,Naktideul
58,21,ODISHA,372,Sambalpur,2799,Sambalpur (M),0,Sambalpur (M)
59,21,ODISHA,372,Sambalpur,2799,Sambalpur (M),801813,Sambalpur (M + OG)
60,21,ODISHA,372,Sambalpur,2799,Sambalpur (M),801813,Sambalpur (M)
61,21,ODISHA,373,Debagarh,0,Debagarh,0,Debagarh
62,21,ODISHA,373,Debagarh,2800,Debagarh,0,Debagarh
63,21,ODISHA,373,Debagarh,2800,Debagarh,801814,Debagarh (M)
64,21,ODISHA,373,Debagarh,2801,Barkot,0,Barkot
65,21,ODISHA,373,Debagarh,2802,Kundheigola,0,Kundheigola
66,21,ODISHA,373,Debagarh,2803,Reamal,0,Reamal
67,21,ODISHA,374,Sundargarh,0,Sundargarh,0,Sundargarh
68,21,ODISHA,374,Sundargarh,2804,Hemgir,0,Hemgir
69,21,ODISHA,374,Sundargarh,2805,Lephripara,0,Lephripara
70,21,ODISHA,374,Sundargarh,2806,Bhasma,0,Bhasma
71,21,ODISHA,374,Sundargarh,2807,Dharuadihi,0,Dharuadihi
72,21,ODISHA,374,Sundargarh,2808,Sundargarh Town,0,Sundargarh Town
73,21,ODISHA,374,Sundargarh,2808,Sundargarh Town,801815,Sundargarh (M)
74,21,ODISHA,374,Sundargarh,2809,Sundargarh ,0,Sundargarh 
