,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,34,PUDUCHERRY,0,PUDUCHERRY,0,PUDUCHERRY,0,PUDUCHERRY
1,34,PUDUCHERRY,634,Yanam,0,Yanam,0,Yanam
2,34,PUDUCHERRY,634,Yanam,5908,Yanam Taluk,0,Yanam Taluk
3,34,PUDUCHERRY,634,Yanam,5908,Yanam Taluk,804035,Yanam (M)
4,34,PUDUCHERRY,635,Puducherry,0,Puducherry,0,Puducherry
5,34,PUDUCHERRY,635,Puducherry,5909,Puducherry Taluk,0,Puducherry Taluk
6,34,PUDUCHERRY,635,Puducherry,5909,Puducherry Taluk,804036,Puducherry (M)
7,34,PUDUCHERRY,635,Puducherry,5910,Ozhukarai Taluk,0,Ozhukarai Taluk
8,34,PUDUCHERRY,635,Puducherry,5910,Ozhukarai Taluk,804037,Ozhukarai (M)
9,34,PUDUCHERRY,635,Puducherry,5911,Villianur Taluk,0,Villianur Taluk
10,34,PUDUCHERRY,635,Puducherry,5911,Villianur Taluk,804038,Kurumbapet (GP + OG)
11,34,PUDUCHERRY,635,Puducherry,5911,Villianur Taluk,804038,Kurumbapet (GP)
12,34,PUDUCHERRY,635,Puducherry,5912,Bahour Taluk,0,Bahour Taluk
13,34,PUDUCHERRY,636,Mahe,0,Mahe,0,Mahe
14,34,PUDUCHERRY,636,Mahe,5913,Mahe Taluk,0,Mahe Taluk
15,34,PUDUCHERRY,636,Mahe,5913,Mahe Taluk,804039,Mahe (M)
16,34,PUDUCHERRY,637,Karaikal,0,Karaikal,0,Karaikal
17,34,PUDUCHERRY,637,Karaikal,5914,Karaikal Taluk,0,Karaikal Taluk
18,34,PUDUCHERRY,637,Karaikal,5914,Karaikal Taluk,804040,Karaikal (M)
19,34,PUDUCHERRY,637,Karaikal,5915,Thirunallar Taluk,0,Thirunallar Taluk
