,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,8,RAJASTHAN,0,RAJASTHAN,0,RAJASTHAN,0,RAJASTHAN
1,8,RAJASTHAN,99,Ganganagar ,0,Ganganagar ,0,Ganganagar 
2,8,RAJASTHAN,99,Ganganagar ,457,Karanpur,0,Karanpur
3,8,RAJASTHAN,99,Ganganagar ,457,Karanpur,800444,Kesrisinghpur (M)
4,8,RAJASTHAN,99,Ganganagar ,457,Karanpur,800445,Karanpur (M)
5,8,RAJASTHAN,99,Ganganagar ,458,Ganganagar,0,Ganganagar
6,8,RAJASTHAN,99,Ganganagar ,458,Ganganagar,800446,Ganganagar (M Cl + OG)
7,8,RAJASTHAN,99,Ganganagar ,458,Ganganagar,800446,Ganganagar (M Cl)
8,8,RAJASTHAN,99,Ganganagar ,459,Sadulshahar,0,Sadulshahar
9,8,RAJASTHAN,99,Ganganagar ,459,Sadulshahar,800447,Sadulshahar (M)
10,8,RAJASTHAN,99,Ganganagar ,460,Padampur,0,Padampur
11,8,RAJASTHAN,99,Ganganagar ,460,Padampur,800448,Gajsinghpur (M)
12,8,RAJASTHAN,99,Ganganagar ,460,Padampur,800449,Padampur (M)
13,8,RAJASTHAN,99,Ganganagar ,461,Raisinghnagar,0,Raisinghnagar
14,8,RAJASTHAN,99,Ganganagar ,461,Raisinghnagar,800450,Raisinghnagar (M)
15,8,RAJASTHAN,99,Ganganagar ,462,Anupgarh,0,Anupgarh
16,8,RAJASTHAN,99,Ganganagar ,462,Anupgarh,800451,Anupgarh (M)
17,8,RAJASTHAN,99,Ganganagar ,463,Gharsana,0,Gharsana
18,8,RAJASTHAN,99,Ganganagar ,464,Vijainagar,0,Vijainagar
19,8,RAJASTHAN,99,Ganganagar ,464,Vijainagar,800452,Vijainagar (M)
20,8,RAJASTHAN,99,Ganganagar ,465,Suratgarh,0,Suratgarh
21,8,RAJASTHAN,99,Ganganagar ,465,Suratgarh,800453,Suratgarh (M)
22,8,RAJASTHAN,100,Hanumangarh,0,Hanumangarh,0,Hanumangarh
