,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,11,SIKKIM,0,SIKKIM,0,SIKKIM,0,SIKKIM
1,11,SIKKIM,241,North  District,0,North  District,0,North  District
2,11,SIKKIM,241,North  District,1547,Chungthang,0,Chungthang
3,11,SIKKIM,241,North  District,1548,Mangan,0,Mangan
4,11,SIKKIM,241,North  District,1548,Mangan,801416,Mangan (NP)
5,11,SIKKIM,242,West District,0,West District,0,West District
6,11,SIKKIM,242,West District,1549,Gyalshing,0,Gyalshing
7,11,SIKKIM,242,West District,1549,Gyalshing,801417,Gyalshing (NP)
8,11,SIKKIM,242,West District,1550,Soreng,0,Soreng
9,11,SIKKIM,242,West District,1550,Soreng,801418,Nayabazar Notified Bazar Area
10,11,SIKKIM,243,South District,0,South District,0,South District
11,11,SIKKIM,243,South District,1551,Namchi,0,Namchi
12,11,SIKKIM,243,South District,1551,Namchi,801419,Namchi (M Cl)
13,11,SIKKIM,243,South District,1551,Namchi,801420,Jorethang (NP)
14,11,SIKKIM,243,South District,1552,Ravong,0,Ravong
15,11,SIKKIM,244,East District,0,East District,0,East District
16,11,SIKKIM,244,East District,1553,Gangtok,0,Gangtok
17,11,SIKKIM,244,East District,1553,Gangtok,801421,Gangtok (M Corp.)
18,11,SIKKIM,244,East District,1553,Gangtok,801422,Singtam (NP)
19,11,SIKKIM,244,East District,1553,Gangtok,801423,Rangpo (NP)
20,11,SIKKIM,244,East District,1554,Pakyong,0,Pakyong
21,11,SIKKIM,244,East District,1555,Rongli,0,Rongli
