,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,19,WEST BENGAL,0,WEST BENGAL,0,WEST BENGAL,0,WEST BENGAL
1,19,WEST BENGAL,327,Darjiling ,0,Darjiling ,0,Darjiling 
2,19,WEST BENGAL,327,Darjiling ,99999,Area not under any Sub-district,801634,Darjiling (M)
3,19,WEST BENGAL,327,Darjiling ,99999,Area not under any Sub-district,801635,Kalimpong (M)
4,19,WEST BENGAL,327,Darjiling ,99999,Area not under any Sub-district,801636,Mirik (NA)
5,19,WEST BENGAL,327,Darjiling ,99999,Area not under any Sub-district,801637,Kurseong (M)
6,19,WEST BENGAL,327,Darjiling ,99999,Area not under any Sub-district,801638,Siliguri (M Corp.) (Part)
7,19,WEST BENGAL,327,Darjiling ,2154,Darjeeling Pulbazar,0,Darjeeling Pulbazar
8,19,WEST BENGAL,327,Darjiling ,2155,Rangli Rangliot,0,Rangli Rangliot
9,19,WEST BENGAL,327,Darjiling ,2156,Kalimpong -I,0,Kalimpong -I
10,19,WEST BENGAL,327,Darjiling ,2157,Kalimpong - II,0,Kalimpong - II
11,19,WEST BENGAL,327,Darjiling ,2158,Gorubathan,0,Gorubathan
12,19,WEST BENGAL,327,Darjiling ,2159,Jorebunglow Sukiapokhri,0,Jorebunglow Sukiapokhri
13,19,WEST BENGAL,327,Darjiling ,2160,Mirik,0,Mirik
14,19,WEST BENGAL,327,Darjiling ,2161,Kurseong,0,Kurseong
15,19,WEST BENGAL,327,Darjiling ,2162,Matigara ,0,Matigara 
16,19,WEST BENGAL,327,Darjiling ,2163,Naxalbari,0,Naxalbari
17,19,WEST BENGAL,327,Darjiling ,2164,Phansidewa,0,Phansidewa
18,19,WEST BENGAL,327,Darjiling ,2165,Kharibari,0,Kharibari
19,19,WEST BENGAL,328,Jalpaiguri ,0,Jalpaiguri ,0,Jalpaiguri 
20,19,WEST BENGAL,328,Jalpaiguri ,99999,Area not under any Sub-district,801638,Siliguri (M Corp.) (Part)
21,19,WEST BENGAL,328,Jalpaiguri ,99999,Area not under any Sub-district,801639,Mal (M)
22,19,WEST BENGAL,328,Jalpaiguri ,99999,Area not under any Sub-district,801640,Jalpaiguri (M)
23,19,WEST BENGAL,328,Jalpaiguri ,99999,Area not under any Sub-district,801641,Dhupguri (M)
24,19,WEST BENGAL,328,Jalpaiguri ,99999,Area not under any Sub-district,801642,Alipurduar (M)
25,19,WEST BENGAL,328,Jalpaiguri ,2166,Rajganj,0,Rajganj
26,19,WEST BENGAL,328,Jalpaiguri ,2167,Mal,0,Mal
27,19,WEST BENGAL,328,Jalpaiguri ,2168,Matiali,0,Matiali
28,19,WEST BENGAL,328,Jalpaiguri ,2169,Nagrakata,0,Nagrakata
29,19,WEST BENGAL,328,Jalpaiguri ,2170,Madarihat,0,Madarihat
30,19,WEST BENGAL,328,Jalpaiguri ,2171,Kalchini,0,Kalchini
31,19,WEST BENGAL,328,Jalpaiguri ,2172,Kumargram,0,Kumargram
32,19,WEST BENGAL,328,Jalpaiguri ,2173,Alipurduar - I,0,Alipurduar - I
33,19,WEST BENGAL,328,Jalpaiguri ,2174,Alipurduar - II,0,Alipurduar - II
34,19,WEST BENGAL,328,Jalpaiguri ,2175,Falakata,0,Falakata
35,19,WEST BENGAL,328,Jalpaiguri ,2176,Dhupguri,0,Dhupguri
36,19,WEST BENGAL,328,Jalpaiguri ,2177,Maynaguri,0,Maynaguri
37,19,WEST BENGAL,328,Jalpaiguri ,2178,Jalpaiguri,0,Jalpaiguri
38,19,WEST BENGAL,329,Koch Bihar ,0,Koch Bihar ,0,Koch Bihar 
39,19,WEST BENGAL,329,Koch Bihar ,99999,Area not under any Sub-district,801643,Haldibari (M)
40,19,WEST BENGAL,329,Koch Bihar ,99999,Area not under any Sub-district,801644,Mekliganj (M)
41,19,WEST BENGAL,329,Koch Bihar ,99999,Area not under any Sub-district,801645,Mathabhanga (M)
42,19,WEST BENGAL,329,Koch Bihar ,99999,Area not under any Sub-district,801646,Koch Bihar (M)
43,19,WEST BENGAL,329,Koch Bihar ,99999,Area not under any Sub-district,801647,Tufanganj (M)
44,19,WEST BENGAL,329,Koch Bihar ,99999,Area not under any Sub-district,801648,Dinhata (M)
45,19,WEST BENGAL,329,Koch Bihar ,2179,Haldibari,0,Haldibari
46,19,WEST BENGAL,329,Koch Bihar ,2180,Mekliganj,0,Mekliganj
47,19,WEST BENGAL,329,Koch Bihar ,2181,Mathabhanga - I,0,Mathabhanga - I
48,19,WEST BENGAL,329,Koch Bihar ,2182,Mathabhanga - II,0,Mathabhanga - II
49,19,WEST BENGAL,329,Koch Bihar ,2183,Cooch Behar - I,0,Cooch Behar - I
50,19,WEST BENGAL,329,Koch Bihar ,2184,Cooch Behar - II,0,Cooch Behar - II
51,19,WEST BENGAL,329,Koch Bihar ,2185,Tufanganj - I,0,Tufanganj - I
52,19,WEST BENGAL,329,Koch Bihar ,2186,Tufanganj - II,0,Tufanganj - II
53,19,WEST BENGAL,329,Koch Bihar ,2187,Dinhata - I,0,Dinhata - I
54,19,WEST BENGAL,329,Koch Bihar ,2188,Dinhata - II,0,Dinhata - II
55,19,WEST BENGAL,329,Koch Bihar ,2189,Sitai,0,Sitai
56,19,WEST BENGAL,329,Koch Bihar ,2190,Sitalkuchi,0,Sitalkuchi
57,19,WEST BENGAL,330,Uttar Dinajpur,0,Uttar Dinajpur,0,Uttar Dinajpur
58,19,WEST BENGAL,330,Uttar Dinajpur,99999,Area not under any Sub-district,801649,Islampur (M)
59,19,WEST BENGAL,330,Uttar Dinajpur,99999,Area not under any Sub-district,801650,Dalkhola (M)
60,19,WEST BENGAL,330,Uttar Dinajpur,99999,Area not under any Sub-district,801651,Raiganj (M)
61,19,WEST BENGAL,330,Uttar Dinajpur,99999,Area not under any Sub-district,801652,Kaliaganj (M)
62,19,WEST BENGAL,330,Uttar Dinajpur,2191,Chopra,0,Chopra
63,19,WEST BENGAL,330,Uttar Dinajpur,2192,Islampur,0,Islampur
64,19,WEST BENGAL,330,Uttar Dinajpur,2193,Goalpokhar - I,0,Goalpokhar - I
65,19,WEST BENGAL,330,Uttar Dinajpur,2194,Goalpokhar - II,0,Goalpokhar - II
66,19,WEST BENGAL,330,Uttar Dinajpur,2195,Karandighi,0,Karandighi
67,19,WEST BENGAL,330,Uttar Dinajpur,2196,Raiganj,0,Raiganj
68,19,WEST BENGAL,330,Uttar Dinajpur,2197,Hemtabad,0,Hemtabad
69,19,WEST BENGAL,330,Uttar Dinajpur,2198,Kaliaganj,0,Kaliaganj
70,19,WEST BENGAL,330,Uttar Dinajpur,2199,Itahar,0,Itahar
71,19,WEST BENGAL,331,Dakshin Dinajpur,0,Dakshin Dinajpur,0,Dakshin Dinajpur
72,19,WEST BENGAL,331,Dakshin Dinajpur,99999,Area not under any Sub-district,801653,Gangarampur (M)
73,19,WEST BENGAL,331,Dakshin Dinajpur,99999,Area not under any Sub-district,801654,Balurghat (M + OG)
74,19,WEST BENGAL,331,Dakshin Dinajpur,99999,Area not under any Sub-district,801654,Balurghat (M)
75,19,WEST BENGAL,331,Dakshin Dinajpur,2200,Kushmundi,0,Kushmundi
76,19,WEST BENGAL,331,Dakshin Dinajpur,2201,Gangarampur,0,Gangarampur
77,19,WEST BENGAL,331,Dakshin Dinajpur,2202,Kumarganj,0,Kumarganj
78,19,WEST BENGAL,331,Dakshin Dinajpur,2203,Hilli,0,Hilli
79,19,WEST BENGAL,331,Dakshin Dinajpur,2204,Balurghat,0,Balurghat
80,19,WEST BENGAL,331,Dakshin Dinajpur,2205,Tapan,0,Tapan
81,19,WEST BENGAL,331,Dakshin Dinajpur,2206,Bansihari,0,Bansihari
82,19,WEST BENGAL,331,Dakshin Dinajpur,2207,Harirampur,0,Harirampur
83,19,WEST BENGAL,332,Maldah ,0,Maldah ,0,Maldah 
84,19,WEST BENGAL,332,Maldah ,99999,Area not under any Sub-district,801655,Old Malda (M)
85,19,WEST BENGAL,332,Maldah ,99999,Area not under any Sub-district,801656,English Bazar (M)
86,19,WEST BENGAL,332,Maldah ,2208,Harischandrapur - I,0,Harischandrapur - I
87,19,WEST BENGAL,332,Maldah ,2209,Harischandrapur - II,0,Harischandrapur - II
88,19,WEST BENGAL,332,Maldah ,2210,Chanchal - I,0,Chanchal - I
89,19,WEST BENGAL,332,Maldah ,2211,Chanchal - II,0,Chanchal - II
90,19,WEST BENGAL,332,Maldah ,2212,Ratua - I,0,Ratua - I
91,19,WEST BENGAL,332,Maldah ,2213,Ratua - II,0,Ratua - II
92,19,WEST BENGAL,332,Maldah ,2214,Gazole,0,Gazole
93,19,WEST BENGAL,332,Maldah ,2215,Bamangola,0,Bamangola
94,19,WEST BENGAL,332,Maldah ,2216,Habibpur,0,Habibpur
95,19,WEST BENGAL,332,Maldah ,2217,Maldah (Old),0,Maldah (Old)
96,19,WEST BENGAL,332,Maldah ,2218,English Bazar,0,English Bazar
97,19,WEST BENGAL,332,Maldah ,2219,Manikchak,0,Manikchak
98,19,WEST BENGAL,332,Maldah ,2220,Kaliachak - I,0,Kaliachak - I
99,19,WEST BENGAL,332,Maldah ,2221,Kaliachak - II,0,Kaliachak - II
100,19,WEST BENGAL,332,Maldah ,2222,Kaliachak - III,0,Kaliachak - III
101,19,WEST BENGAL,333,Murshidabad ,0,Murshidabad ,0,Murshidabad 
102,19,WEST BENGAL,333,Murshidabad ,99999,Area not under any Sub-district,801657,Dhulian (M)
103,19,WEST BENGAL,333,Murshidabad ,99999,Area not under any Sub-district,801658,Jangipur (M)
104,19,WEST BENGAL,333,Murshidabad ,99999,Area not under any Sub-district,801659,Jiaganj-Azimganj (M)
105,19,WEST BENGAL,333,Murshidabad ,99999,Area not under any Sub-district,801660,Murshidabad (M)
106,19,WEST BENGAL,333,Murshidabad ,99999,Area not under any Sub-district,801661,Kandi (M)
107,19,WEST BENGAL,333,Murshidabad ,99999,Area not under any Sub-district,801662,Berhampore (M)
108,19,WEST BENGAL,333,Murshidabad ,99999,Area not under any Sub-district,801663,Beldanga (M)
109,19,WEST BENGAL,333,Murshidabad ,2223,Farakka,0,Farakka
110,19,WEST BENGAL,333,Murshidabad ,2224,Samserganj,0,Samserganj
111,19,WEST BENGAL,333,Murshidabad ,2225,Suti - I,0,Suti - I
112,19,WEST BENGAL,333,Murshidabad ,2226,Suti - II,0,Suti - II
113,19,WEST BENGAL,333,Murshidabad ,2227,Raghunathganj - I,0,Raghunathganj - I
114,19,WEST BENGAL,333,Murshidabad ,2228,Raghunathganj - II,0,Raghunathganj - II
115,19,WEST BENGAL,333,Murshidabad ,2229,Lalgola,0,Lalgola
116,19,WEST BENGAL,333,Murshidabad ,2230,Sagardighi,0,Sagardighi
117,19,WEST BENGAL,333,Murshidabad ,2231,Bhagawangola - I,0,Bhagawangola - I
118,19,WEST BENGAL,333,Murshidabad ,2232,Bhagawangola - II,0,Bhagawangola - II
119,19,WEST BENGAL,333,Murshidabad ,2233,Raninagar - II,0,Raninagar - II
120,19,WEST BENGAL,333,Murshidabad ,2234,Jalangi,0,Jalangi
121,19,WEST BENGAL,333,Murshidabad ,2235,Domkal,0,Domkal
122,19,WEST BENGAL,333,Murshidabad ,2236,Raninagar - I,0,Raninagar - I
123,19,WEST BENGAL,333,Murshidabad ,2237,Murshidabad Jiaganj,0,Murshidabad Jiaganj
124,19,WEST BENGAL,333,Murshidabad ,2238,Nabagram,0,Nabagram
125,19,WEST BENGAL,333,Murshidabad ,2239,Khargram,0,Khargram
126,19,WEST BENGAL,333,Murshidabad ,2240,Kandi,0,Kandi
127,19,WEST BENGAL,333,Murshidabad ,2241,Berhampore,0,Berhampore
128,19,WEST BENGAL,333,Murshidabad ,2242,Hariharpara,0,Hariharpara
129,19,WEST BENGAL,333,Murshidabad ,2243,Nawda,0,Nawda
130,19,WEST BENGAL,333,Murshidabad ,2244,Beldanga - I,0,Beldanga - I
131,19,WEST BENGAL,333,Murshidabad ,2245,Beldanga - II,0,Beldanga - II
132,19,WEST BENGAL,333,Murshidabad ,2246,Bharatpur - II,0,Bharatpur - II
133,19,WEST BENGAL,333,Murshidabad ,2247,Bharatpur - I,0,Bharatpur - I
134,19,WEST BENGAL,333,Murshidabad ,2248,Burwan,0,Burwan
135,19,WEST BENGAL,334,Birbhum,0,Birbhum,0,Birbhum
136,19,WEST BENGAL,334,Birbhum,99999,Area not under any Sub-district,801664,Nalhati (M)
137,19,WEST BENGAL,334,Birbhum,99999,Area not under any Sub-district,801665,Rampurhat (M)
138,19,WEST BENGAL,334,Birbhum,99999,Area not under any Sub-district,801666,Suri (M)
139,19,WEST BENGAL,334,Birbhum,99999,Area not under any Sub-district,801667,Sainthia (M)
140,19,WEST BENGAL,334,Birbhum,99999,Area not under any Sub-district,801668,Dubrajpur (M)
141,19,WEST BENGAL,334,Birbhum,99999,Area not under any Sub-district,801669,Bolpur (M)
142,19,WEST BENGAL,334,Birbhum,2249,Murarai - I,0,Murarai - I
143,19,WEST BENGAL,334,Birbhum,2250,Murarai - II,0,Murarai - II
144,19,WEST BENGAL,334,Birbhum,2251,Nalhati - I,0,Nalhati - I
145,19,WEST BENGAL,334,Birbhum,2252,Nalhati - II,0,Nalhati - II
146,19,WEST BENGAL,334,Birbhum,2253,Rampurhat - I,0,Rampurhat - I
147,19,WEST BENGAL,334,Birbhum,2254,Rampurhat - II,0,Rampurhat - II
148,19,WEST BENGAL,334,Birbhum,2255,Mayureswar - I,0,Mayureswar - I
149,19,WEST BENGAL,334,Birbhum,2256,Mayureswar - II,0,Mayureswar - II
150,19,WEST BENGAL,334,Birbhum,2257,Mohammad Bazar,0,Mohammad Bazar
151,19,WEST BENGAL,334,Birbhum,2258,Rajnagar,0,Rajnagar
152,19,WEST BENGAL,334,Birbhum,2259,Suri - I,0,Suri - I
153,19,WEST BENGAL,334,Birbhum,2260,Suri - II,0,Suri - II
154,19,WEST BENGAL,334,Birbhum,2261,Sainthia,0,Sainthia
155,19,WEST BENGAL,334,Birbhum,2262,Labpur,0,Labpur
156,19,WEST BENGAL,334,Birbhum,2263,Nanoor,0,Nanoor
157,19,WEST BENGAL,334,Birbhum,2264,Bolpur Sriniketan,0,Bolpur Sriniketan
158,19,WEST BENGAL,334,Birbhum,2265,Illambazar,0,Illambazar
159,19,WEST BENGAL,334,Birbhum,2266,Dubrajpur,0,Dubrajpur
160,19,WEST BENGAL,334,Birbhum,2267,Khoyrasol,0,Khoyrasol
161,19,WEST BENGAL,335,Barddhaman ,0,Barddhaman ,0,Barddhaman 
162,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801670,Kulti (M)
163,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801671,Asansol (M Corp.)
164,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801672,Jamuria (M + OG)
165,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801672,Jamuria (M)
166,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801673,Raniganj (M)
167,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801674,Durgapur (M Corp.)
168,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801675,Katwa (M)
169,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801676,Dainhat (M)
170,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801677,Guskara (M)
171,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801678,Barddhaman (M)
172,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801679,Kalna (M)
173,19,WEST BENGAL,335,Barddhaman ,99999,Area not under any Sub-district,801680,Memari (M)
174,19,WEST BENGAL,335,Barddhaman ,2268,Salanpur,0,Salanpur
175,19,WEST BENGAL,335,Barddhaman ,2269,Barabani,0,Barabani
176,19,WEST BENGAL,335,Barddhaman ,2270,Jamuria,0,Jamuria
177,19,WEST BENGAL,335,Barddhaman ,2271,Raniganj,0,Raniganj
178,19,WEST BENGAL,335,Barddhaman ,2272,Ondal,0,Ondal
179,19,WEST BENGAL,335,Barddhaman ,2273,Pandabeswar,0,Pandabeswar
180,19,WEST BENGAL,335,Barddhaman ,2274,Faridpur Durgapur,0,Faridpur Durgapur
181,19,WEST BENGAL,335,Barddhaman ,2275,Kanksa,0,Kanksa
182,19,WEST BENGAL,335,Barddhaman ,2276,Ausgram - II,0,Ausgram - II
183,19,WEST BENGAL,335,Barddhaman ,2277,Ausgram - I,0,Ausgram - I
184,19,WEST BENGAL,335,Barddhaman ,2278,Mangolkote,0,Mangolkote
185,19,WEST BENGAL,335,Barddhaman ,2279,Ketugram - I,0,Ketugram - I
186,19,WEST BENGAL,335,Barddhaman ,2280,Ketugram - II,0,Ketugram - II
187,19,WEST BENGAL,335,Barddhaman ,2281,Katwa - I,0,Katwa - I
188,19,WEST BENGAL,335,Barddhaman ,2282,Katwa - II,0,Katwa - II
189,19,WEST BENGAL,335,Barddhaman ,2283,Purbasthali - I,0,Purbasthali - I
190,19,WEST BENGAL,335,Barddhaman ,2284,Purbasthali - II,0,Purbasthali - II
191,19,WEST BENGAL,335,Barddhaman ,2285,Manteswar,0,Manteswar
192,19,WEST BENGAL,335,Barddhaman ,2286,Bhatar,0,Bhatar
193,19,WEST BENGAL,335,Barddhaman ,2287,Galsi - I,0,Galsi - I
194,19,WEST BENGAL,335,Barddhaman ,2288,Galsi - II,0,Galsi - II
195,19,WEST BENGAL,335,Barddhaman ,2289,Burdwan - I,0,Burdwan - I
196,19,WEST BENGAL,335,Barddhaman ,2290,Burdwan - II,0,Burdwan - II
197,19,WEST BENGAL,335,Barddhaman ,2291,Memari - I,0,Memari - I
198,19,WEST BENGAL,335,Barddhaman ,2292,Memari - II,0,Memari - II
199,19,WEST BENGAL,335,Barddhaman ,2293,Kalna - I,0,Kalna - I
200,19,WEST BENGAL,335,Barddhaman ,2294,Kalna - II,0,Kalna - II
201,19,WEST BENGAL,335,Barddhaman ,2295,Jamalpur,0,Jamalpur
202,19,WEST BENGAL,335,Barddhaman ,2296,Raina - I,0,Raina - I
203,19,WEST BENGAL,335,Barddhaman ,2297,Khandaghosh,0,Khandaghosh
204,19,WEST BENGAL,335,Barddhaman ,2298,Raina - II,0,Raina - II
205,19,WEST BENGAL,336,Nadia ,0,Nadia ,0,Nadia 
206,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801681,Nabadwip (M)
207,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801682,Krishnanagar (M)
208,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801683,Santipur (M)
209,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801684,Taherpur (NA + OG)
210,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801684,Taherpur (NA)
211,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801685,Birnagar (M)
212,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801686,Ranaghat (M)
213,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801687,Cooper's Camp (NA + OG)
214,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801687,Cooper's Camp (NA)
215,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801688,Chakdaha (M)
216,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801689,Kalyani (M)
217,19,WEST BENGAL,336,Nadia ,99999,Area not under any Sub-district,801690,Gayespur (M)
218,19,WEST BENGAL,336,Nadia ,2299,Karimpur - I,0,Karimpur - I
219,19,WEST BENGAL,336,Nadia ,2300,Karimpur - II,0,Karimpur - II
220,19,WEST BENGAL,336,Nadia ,2301,Tehatta - I,0,Tehatta - I
221,19,WEST BENGAL,336,Nadia ,2302,Tehatta - II,0,Tehatta - II
222,19,WEST BENGAL,336,Nadia ,2303,Kaliganj,0,Kaliganj
223,19,WEST BENGAL,336,Nadia ,2304,Nakashipara,0,Nakashipara
224,19,WEST BENGAL,336,Nadia ,2305,Chapra,0,Chapra
225,19,WEST BENGAL,336,Nadia ,2306,Krishnagar - II,0,Krishnagar - II
226,19,WEST BENGAL,336,Nadia ,2307, Nabadwip,0, Nabadwip
227,19,WEST BENGAL,336,Nadia ,2308,Krishnagar - I,0,Krishnagar - I
228,19,WEST BENGAL,336,Nadia ,2309,Krishnaganj,0,Krishnaganj
229,19,WEST BENGAL,336,Nadia ,2310,Hanskhali,0,Hanskhali
230,19,WEST BENGAL,336,Nadia ,2311,Santipur,0,Santipur
231,19,WEST BENGAL,336,Nadia ,2312,Ranaghat - I,0,Ranaghat - I
232,19,WEST BENGAL,336,Nadia ,2313,Ranaghat - II,0,Ranaghat - II
233,19,WEST BENGAL,336,Nadia ,2314,Chakdah,0,Chakdah
234,19,WEST BENGAL,336,Nadia ,2315,Haringhata,0,Haringhata
235,19,WEST BENGAL,337,North Twenty Four Parganas,0,North Twenty Four Parganas,0,North Twenty Four Parganas
236,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801691,Bongaon (M)
237,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801692,Halisahar (M)
238,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801693,Kanchrapara (M + OG)
239,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801693,Kanchrapara (M)
240,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801694,Naihati (M)
241,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801695,Bhatpara (M + OG)
242,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801695,Bhatpara (M)
243,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801696,Gobardanga (M)
244,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801697,Habra (M)
245,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801698,Ashokenagar Kalyangarh (M)
246,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801699,Garulia (M)
247,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801700,North Barrackpore (M)
248,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801701,Barrackpur Cantonment (CB)
249,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801702,Barrackpore (M)
250,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801703,Titagarh (M)
251,19,WEST BENGAL,337,North Twenty Four Parganas,99999,Area not under any Sub-district,801704,Khardah (M)
