S. No.,State/ UT,Required - [R],Sanctioned - [S],In Position - [P],Vacant - [S-P],Shortfall - [R-P],Note of State/ UT,Note of Vacant - [S-P]
1,Andhra Pradesh,193,65,56,9,137,NA,NA
2,Arunachal Pradesh,63,NA,1,NA,62,NA,NA
3,Assam,158,NA,31,NA,127,###,NA
4,Bihar,150,NA,8,NA,142,NA,NA
5,Chhattisgarh,169,155,9,146,160,NA,NA
6,Goa,4,1,1,0,3,NA,NA
7,Gujarat,363,62,9,53,354,NA,NA
8,Haryana,112,12,4,8,108,NA,NA
9,Himachal Pradesh,89,NA,5,NA,84,NA,NA
10,Jammu & Kashmir,84,107,45,62,39,NA,NA
11,Jharkhand,188,190,8,182,180,NA,NA
12,Karnataka,206,206,106,100,100,NA,NA
13,Kerala,232,2,2,0,230,NA,NA
14,Madhya Pradesh,309,309,41,268,268,NA,NA
15,Maharashtra,360,153,45,108,315,NA,NA
16,Manipur,17,1,1,0,16,NA,NA
17,Meghalaya,27,0,12,NA,15,#,*
18,Mizoram,9,5,0,5,9,##,NA
19,Nagaland,21,NA,0,NA,21,NA,NA
20,Odisha,370,128,58,70,312,NA,NA
21,Punjab,151,140,48,92,103,NA,NA
22,Rajasthan,579,665,189,476,390,NA,NA
23,Sikkim,2,NA,1,NA,1,NA,NA
24,Tamil Nadu,385,NA,11,NA,374,NA,NA
25,Telangana,114,71,21,50,93,NA,NA
26,Tripura,21,0,0,0,21,NA,NA
27,Uttarakhand,60,49,11,38,49,NA,NA
28,Uttar Pradesh,822,523,103,420,719,NA,NA
29,West Bengal,349,95,36,59,313,NA,NA
30,A & N Island,4,3,0,3,4,NA,NA
31,Chandigarh,2,2,1,1,1,#,NA
32,Dadra & Nagar Haveli,2,0,0,0,2,NA,NA
33,Daman & Diu,2,0,0,0,2,NA,NA
34,Delhi,0,0,0,0,0,NA,NA
35,Lakshadweep,3,0,0,0,3,NA,NA
36,Puducherry,4,1,1,0,3,NA,NA
All India/ Total,All India/ Total,5624,2945,864,2150,4760,NA,NA
