S. No.,State/ UT,Required - [R],Sanctioned - [S],In Position - [P],Vacant - [S-P],Shortfall - [R-P],Note of State/ UT,Note of Vacant - [S-P],Note of Shortfall - [R-P]
1,Andhra Pradesh,193,160,75,85,118,NA,NA,NA
2,Arunachal Pradesh,63,NA,7,NA,56,NA,NA,NA
3,Assam,158,145,60,85,98,#,NA,NA
4,Bihar,150,89,1,88,149,##,NA,NA
5,Chhattisgarh,169,162,130,32,39,NA,NA,NA
6,Goa,4,6,6,0,NA,NA,NA,*
7,Gujarat,363,363,162,201,201,NA,NA,NA
8,Haryana,112,73,40,33,72,NA,NA,NA
9,Himachal Pradesh,89,65,33,32,56,NA,NA,NA
10,Jammu & Kashmir,84,305,210,95,NA,NA,NA,*
11,Jharkhand,188,188,57,131,131,###,NA,NA
12,Karnataka,206,206,167,39,39,NA,NA,NA
13,Kerala,232,16,18,NA,214,NA,*,NA
14,Madhya Pradesh,309,312,176,136,133,NA,NA,NA
15,Maharashtra,360,140,107,33,253,NA,NA,NA
16,Manipur,17,13,13,0,4,NA,NA,NA
17,Meghalaya,27,19,21,NA,6,^,*,NA
18,Mizoram,9,5,6,NA,3,$,*,NA
19,Nagaland,21,1,1,0,20,NA,NA,NA
20,Odisha,370,57,68,NA,302,NA,*,NA
21,Punjab,151,171,129,42,22,NA,NA,NA
22,Rajasthan,579,714,205,509,374,NA,NA,NA
23,Sikkim,2,NA,1,NA,1,NA,NA,NA
24,Tamil Nadu,385,294,119,175,266,NA,NA,NA
25,Telangana,114,98,58,40,56,NA,NA,NA
26,Tripura,21,0,11,NA,10,NA,*,NA
27,Uttarakhand,60,32,15,17,45,NA,NA,NA
28,Uttar Pradesh,822,230,82,148,740,NA,NA,NA
29,West Bengal,349,275,135,140,214,NA,NA,NA
30,A & N Island,4,0,0,0,4,NA,NA,NA
31,Chandigarh,2,5,5,0,NA,^^,NA,*
32,Dadra & Nagar Haveli,2,0,0,0,2,NA,NA,NA
33,Daman & Diu,2,3,3,0,NA,NA,NA,*
34,Delhi,0,0,0,0,0,NA,NA,NA
35,Lakshadweep,3,5,5,0,NA,NA,NA,*
36,Puducherry,4,3,3,0,1,NA,NA,NA
All India/ Total,All India/ Total,5624,4155,2129,2061,3629,NA,NA,NA
