S. No.,State/ UT,Required - [R],Sanctioned - [S],In Position - [P],Vacant - [S-P],Shortfall - [R-P],Note of State/ UT,Note of Vacant - [S-P]
1,Andhra Pradesh,7458,5021,2964,2057,4494,NA,NA
2,Arunachal Pradesh,312,NA,92,NA,220,NA,NA
3,Assam,4621,3000,2783,217,1838,~,NA
4,Bihar,9949,2135,1244,891,8705,#,NA
5,Chhattisgarh,5186,5186,3856,1330,1330,NA,NA
6,Goa,214,86,86,0,128,NA,NA
7,Gujarat,9082,9069,7888,1181,1194,NA,NA
8,Haryana,2589,2138,1217,921,1372,NA,NA
9,Himachal Pradesh,2083,2036,829,1207,1254,NA,NA
10,Jammu & Kashmir,2967,817,672,145,2295,##,NA
11,Jharkhand,3848,2150,1654,496,2194,NA,NA
12,Karnataka,9381,5861,3252,2609,6129,NA,NA
13,Kerala,5380,3401,3401,0,1979,NA,NA
14,Madhya Pradesh,9192,4260,3707,553,5485,NA,NA
15,Maharashtra,10580,7853,4570,3283,6010,NA,NA
16,Manipur,421,469,374,95,47,NA,NA
17,Meghalaya,436,84,192,NA,244,###,*
18,Mizoram,370,382,366,16,4,^^,NA
19,Nagaland,396,NA,NA,NA,NA,NA,NA
20,Odisha,6688,4548,3617,931,3071,NA,NA
21,Punjab,2950,2958,1424,1534,1526,NA,NA
22,Rajasthan,14406,2241,1159,1082,13247,NA,NA
23,Sikkim,147,147,86,61,61,^,NA
24,Tamil Nadu,8712,3292,2109,1183,6603,NA,NA
25,Telangana,4797,2628,1769,859,3028,NA,NA
26,Tripura,987,574,735,NA,252,###,*
27,Uttarakhand,1847,329,67,262,1780,NA,NA
28,Uttar Pradesh,20521,9080,3835,5245,16686,NA,NA
29,West Bengal,10369,9457,2174,7283,8195,NA,NA
30,A & N Island,123,45,45,0,78,NA,NA
31,Chandigarh,17,2,2,0,15,$,NA
32,Dadra & Nagar Haveli,71,9,63,NA,8,NA,*
33,Daman & Diu,26,24,17,7,9,NA,NA
34,Delhi,10,0,0,0,10,NA,NA
35,Lakshadweep,14,14,14,0,0,NA,NA
36,Puducherry,81,0,0,0,81,NA,NA
All India/ Total,All India/ Total,156231,89296,56263,33448,99572,NA,NA
