S. No. (Col.1),State/UT (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases sent for Trial during the Year (Col.4),Total Cases for Trial during the Year (Col.5) = (Col.3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+Col.7 +Col.8+Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 - Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Andhra Pradesh,2575,1405,3980,0,0,81,1012,113,899,1093,2887,11.2,72.5
2,Arunachal Pradesh,199,71,270,0,0,4,5,1,4,9,261,20,96.7
3,Assam,1782,1338,3120,0,0,0,340,57,283,340,2780,16.8,89.1
4,Bihar,5264,2898,8162,0,0,0,316,75,241,316,7846,23.7,96.1
5,Chhattisgarh,5977,3365,9342,0,0,0,2149,924,1225,2149,7193,43,77
6,Goa,616,130,746,0,0,0,102,18,84,102,644,17.6,86.3
7,Gujarat,9394,2641,12035,2,0,9,295,34,261,306,11729,11.5,97.5
8,Haryana,2145,1628,3773,0,0,0,825,150,675,825,2948,18.2,78.1
9,Himachal Pradesh,903,245,1148,0,0,5,149,30,119,154,994,20.1,86.6
10,Jammu & Kashmir,370,92,462,0,0,5,67,4,63,72,390,6,84.4
11,Jharkhand,524,429,953,0,0,0,162,45,117,162,791,27.8,83
12,Karnataka,4736,2211,6947,0,0,0,607,76,531,607,6340,12.5,91.3
13,Kerala,7766,2663,10429,0,0,2,510,85,425,512,9917,16.7,95.1
14,Madhya Pradesh,21865,9527,31392,0,0,495,5444,1642,3802,5939,25453,30.2,81.1
15,Maharashtra,29886,7239,37125,3,1,85,1847,399,1448,1936,35189,21.6,94.8
16,Manipur,70,68,138,0,0,0,10,1,9,10,128,10,92.8
17,Meghalaya,605,135,740,0,0,1,38,30,8,39,701,78.9,94.7
18,Mizoram,224,164,388,0,0,0,65,63,2,65,323,96.9,83.2
19,Nagaland,24,31,55,0,0,0,23,9,14,23,32,39.1,58.2
20,Odisha,4233,2319,6552,0,0,0,467,43,424,467,6085,9.2,92.9
21,Punjab,1125,835,1960,0,0,0,558,164,394,558,1402,29.4,71.5
22,Rajasthan,6725,2323,9048,0,12,21,715,266,449,748,8300,37.2,91.7
23,Sikkim,43,86,129,0,0,0,19,9,10,19,110,47.4,85.3
24,Tamil Nadu,3682,2144,5826,0,0,0,1481,634,847,1481,4345,42.8,74.6
25,Telangana,3534,2167,5701,0,0,52,815,88,727,867,4834,10.8,84.8
26,Tripura,570,201,771,0,0,34,87,29,58,121,650,33.3,84.3
27,Uttar Pradesh,29996,9753,39749,0,0,57,2998,1529,1469,3055,36694,51,92.3
28,Uttarakhand,438,267,705,0,0,0,65,50,15,65,640,76.9,90.8
29,West Bengal,10897,4641,15538,0,0,0,766,78,688,766,14772,10.2,95.1
Total (States),Total (States),156168,61016,217184,5,13,851,21937,6646,15291,22806,194378,30.3,89.5
30,A & N Islands,318,53,371,0,0,2,19,4,15,21,350,21.1,94.3
31,Chandigarh,143,87,230,0,0,0,96,45,51,96,134,46.9,58.3
32,D&N Haveli,61,16,77,0,0,0,7,2,5,7,70,28.6,90.9
33,Daman & Diu,15,10,25,0,0,0,0,0,0,0,25,NA,100
34,Delhi,7649,2114,9763,0,0,5,704,294,410,709,9054,41.8,92.7
35,Lakshadweep,1,5,6,0,0,0,0,0,0,0,6,NA,100
36,Puducherry,32,51,83,0,0,0,0,0,0,0,83,NA,100
Total (UTs),Total (UTs),8219,2336,10555,0,0,7,826,345,481,833,9722,41.8,92.1
Total (All-India),Total (All-India),164387,63352,227739,5,13,858,22763,6991,15772,23639,204100,30.7,89.6
