,STATE NAME,DISTRICT NAME,POPULATION,MALES,FEMALES,GROWTH  1991   2001,RURAL,URBAN,SCHEDULED CASTE POPULATION,PERCENTAGE   SC TO TOTAL,NUMBER OF HOUSEHOLDS,HOUSEHOLD SIZE  PER HOUSEHOLD,SEX RATIO  FEMALES PER 1000 MALES,SEX RATIO  0 6 YEARS,SCHEDULED TRIBE POPULATION,PERCENTAGE TO TOTAL POPULATION  ST,PERSONS  LITERATE,MALES  LITERATE,FEMALES  LITERATE,PERSONS  LITERACY RATE,MALES  LITERATACY RATE,FEMALES  LITERACY RATE,TOTAL EDUCATED,DATA WITHOUT LEVEL,BELOW PRIMARY,PRIMARY,MIDDLE,MATRIC HIGHER SECONDARY DIPLOMA,GRADUATE AND ABOVE,X0   4 YEARS,X5   14 YEARS,X15   59 YEARS,X60 YEARS AND ABOVE  INCL  A N S,TOTAL WORKERS,MAIN WORKERS,MARGINAL WORKERS,NON WORKERS,SC 1 NAME,SC 1 POPULATION,SC 2 NAME,SC 2 POPULATION,SC 3 NAME,SC 3 POPULATION,RELIGEON 1 NAME,RELIGEON 1 POPULATION,RELIGEON 2 NAME,RELIGEON 2 POPULATION,RELIGEON 3 NAME,RELIGEON 3 POPULATION,ST 1 NAME,ST 1 POPULATION,ST 2 NAME,ST 2 POPULATION,ST 3 NAME,ST 3 POPULATION,IMP TOWN 1 NAME,IMP TOWN 1 POPULATION,IMP TOWN 2 NAME,IMP TOWN 2 POPULATION,IMP TOWN 3 NAME,IMP TOWN 3 POPULATION,TOTAL INHABITED VILLAGES,DRINKING WATER FACILITIES,SAFE DRINKING WATER,ELECTRICITY  POWER SUPPLY,ELECTRICITY  DOMESTIC,ELECTRICITY  AGRICULTURE,PRIMARY SCHOOL,MIDDLE SCHOOLS,SECONDARY SR SECONDARY SCHOOLS,COLLEGE,MEDICAL FACILITY,PRIMARY HEALTH CENTRE,PRIMARY HEALTH SUB CENTRE,POST  TELEGRAPH AND TELEPHONE FACILITY,BUS SERVICES,PAVED APPROACH ROAD,MUD APPROACH ROAD,PERMANENT HOUSE,SEMI PERMANENT HOUSE,TEMPORARY HOUSE,YEAR
0,ANDAMAN AND NICOBAR ISLANDS,ANDAMANS,314084,170319,143765,30.14,197886.0,116198.0,NA,NA,70167.0,4.0,844.0,959.0,2904,0.92,226600,131223,95377,82.49,87.36,76.62,226600.0,1623.0,48339.0,62233.0,49731.0,50748.0,13909.0,27505.0,64496.0,204928.0,17155.0,116631,100683,15948,197453,No Scheduled Castes in this area,NA,NA,NA,NA,NA,1.Hindus,235862,2.Christians,49033,3.Muslims,27134,1.Nicobarese,2486,2.Jarawas,240,3.Onges,96,1.Port Blair (M Cl),99984.0,2.Garacharma (CT),9427.0,3.Bambooflat (CT),6787.0,331.0,331.0,293.0,233.0,148,16,185.0,83,71,1,102,16,78,161.0,187,201,243,28.7,39.1,32.0,2001
1,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,42068,22653,19415,7.19,42068.0,NA,NA,NA,8075.0,5.0,857.0,936.0,26565,63.15,26535,15608,10927,72.35,78.55,65.01,26535.0,346.0,5062.0,8544.0,6439.0,5150.0,994.0,3736.0,8307.0,27535.0,2490.0,19623,12924,6699,22445,No Scheduled Castes in this area,NA,NA,NA,NA,NA,1.Christians,28145,2.Hindus,10727,3.Muslims,2131,1.Nicobarese,26167,2.Shom Pens,398,3.All Scheduled Tribes,26565,No Urban Area,NA,NA,NA,NA,NA,170.0,169.0,163.0,96.0,93,NA,53.0,25,22,NA,38,4,31,36.0,49,51,111,28.0,33.3,38.7,2001
2,ANDHRA PRADESH,ADILABAD,2488003,1250958,1237045,19.06,1827986.0,NA,NA,NA,524649.0,5.0,989.0,962.0,416511,16.74,1112189,688072,424117,52.68,64.98,40.3,1112189.0,46680.0,347433.0,305503.0,114789.0,254169.0,43564.0,243389.0,659331.0,1417252.0,168031.0,1123248,912287,210961,1364755,NA,154470.0,NA,147883.0,NA,73083.0,NA,2207843,NA,236844,NA,24392,1.Gond etc.,200944,2.Sugalis etc.,103303,3.Kolam etc.,45437,NA,109529.0,NA,75254.0,(M),70381.0,1586.0,1585.0,1580.0,1585.0,NA,NA,1521.0,429,196,NA,976,61,432,558.0,814,979,544,53.0,39.9,7.0,2001
3,ANDHRA PRADESH,NIZAMABAD,2345685,1162905,1182780,14.98,1920947.0,NA,NA,NA,484588.0,5.0,1017.0,958.0,165735,7.07,1044788,642996,401792,52.02,64.91,39.48,1044788.0,43604.0,288554.0,304556.0,106517.0,249549.0,51926.0,216402.0,567129.0,1382370.0,179784.0,1159606,971911,187695,1186079,1.Madiga,168229.0,2.Mala,157187.0,3.Gosangi,9760.0,1.Hindus,1983275,2.Muslims,338824,3.Christians,16204,1.Sugalis etc.,142355,2.Gond etc.,13971,3.Yerukulas,5409,1.Nizamabad (M),288722.0,2.Bodhan (M),71520.0,3.Kamareddy (M),64496.0,854.0,854.0,854.0,854.0,NA,NA,839.0,417,256,NA,614,50,330,602.0,746,760,82,52.8,37.6,9.6,2001
4,ANDHRA PRADESH,KARIMNAGAR,3491822,1747968,1743854,14.47,2813010.0,NA,NA,NA,813797.0,4.0,998.0,961.0,90636,2.6,1661089,1013328,647761,54.9,67.09,42.75,1661089.0,57595.0,445208.0,478883.0,189226.0,409110.0,81001.0,302570.0,796148.0,2077569.0,315535.0,1711559,1458954,252605,1780263,1.Madiga,396594.0,2.Mala,193030.0,3.Mala Sale etc.,25595.0,1.Hindus,3251834,2.Muslims,213811,3.Christians,20576,1.Sugalis etc.,51157,2.Gond etc.,13275,3.Yerukulas,13215,1.Ramagundam (M),236600.0,2.Karimnagar (M),205653.0,3.Jagtial (M),85521.0,1047.0,1047.0,1046.0,1047.0,NA,NA,1039.0,668,391,NA,863,70,475,795.0,912,823,218,55.8,36.4,7.8,2001
5,ANDHRA PRADESH,MEDAK,2670097,1352446,1317651,17.29,2286573.0,NA,NA,NA,521018.0,5.0,974.0,964.0,134533,5.04,1171134,738208,432926,51.65,64.33,38.66,1171134.0,56841.0,339163.0,322529.0,118592.0,282352.0,51608.0,255985.0,677807.0,1523368.0,212937.0,1293657,1060051,233606,1376440,1.Madiga,271203.0,2.Mala,172595.0,3.Beda Jangam etc.,7704.0,1.Hindus,2334169,2.Muslims,296486,3.Christians,34651,1.Sugalis etc.,118642,2.Yerukulas,13264,3.Generic Tribes etc.,1358,1.Siddipet (M),61809.0,2.Sangareddy (M),57113.0,3.Ramachandrapuram (CT),52363.0,1225.0,1225.0,1225.0,1225.0,NA,NA,1215.0,555,274,NA,659,58,360,803.0,1007,978,239,49.3,42.6,8.1,2001
6,ANDHRA PRADESH,HYDERABAD,3829753,1981173,1848580,17.18,NA,NA,NA,NA,695906.0,6.0,933.0,942.0,34560,0.9,2634949,1449602,1185347,78.8,83.74,73.5,2634949.0,104630.0,347414.0,561772.0,244588.0,909398.0,466744.0,319253.0,864415.0,2401792.0,244293.0,1119842,1032298,87544,2709911,1.Madiga,150377.0,2.Mala,108135.0,3.Generic Castes etc.,31460.0,1.Hindus,2121963,2.Muslims,1576583,3.Christians,92915,1.Sugalis etc.,17145,2.Yerukulas,6595,3.Generic Tribes etc.,5059,1.Hyderabad (M Corp.) (Part),3612427.0,"2.Secunderabad Cantonment Boar2d0(6C,1B0)2",NA,3.Osmania University (CT),11224.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0,11.9,2.0,2001
7,ANDHRA PRADESH,RANGAREDDI,3575064,1839227,1735837,37.41,1637227.0,NA,NA,NA,742590.0,5.0,944.0,959.0,146057,4.09,2034381,1192100,842281,66.16,75.26,56.49,2034381.0,78742.0,404250.0,489521.0,193364.0,607300.0,260503.0,324169.0,842909.0,2173360.0,234626.0,1437606,1264403,173203,2137458,1.Madiga,333075.0,2.Mala,152645.0,3.Generic Castes etc.,10322.0,1.Hindus,3063118,2.Muslims,408281,3.Christians,89893,1.Sugalis etc.,123753,2.Yerukulas,11340,3.Koya etc.,4394,1.Kukatpally (M),292289.0,2.Lal Bahadur Nagar (M),268689.0,3.Qutubullapur (M),231108.0,860.0,860.0,860.0,858.0,NA,NA,839.0,405,238,NA,422,30,225,638.0,713,731,122,78.6,18.2,3.1,2001
8,ANDHRA PRADESH,MAHBUBNAGAR,3513934,1782340,1731594,13.97,3142579.0,NA,NA,NA,688212.0,5.0,972.0,951.0,278702,7.93,1317521,850414,467107,44.41,56.63,31.89,1317521.0,66105.0,371893.0,353924.0,128269.0,329607.0,67575.0,345446.0,937792.0,1969070.0,261626.0,1823329,1482426,340903,1690605,1.Madiga,463547.0,2.Mala,106122.0,3.Generic Castes etc.,15072.0,1.Hindus,3193932,2.Muslims,296975,3.Christians,18800,1.Sugalis etc.,246810,2.Yerukulas,21039,3.Chenchu etc.,8272,1.Mahbubnagar (M),130986.0,2.Gadwal (M),50941.0,3.Wanaparthy (NP),50114.0,1477.0,1475.0,1468.0,1477.0,NA,NA,1456.0,658,335,NA,881,76,517,1044.0,1230,1127,340,39.9,34.7,25.4,2001
9,ANDHRA PRADESH,NALGONDA,3247982,1651990,1595992,13.55,2815304.0,NA,NA,NA,723015.0,4.0,966.0,951.0,342676,10.55,1595643,981875,613768,57.15,69.23,44.68,1595643.0,67688.0,474835.0,439802.0,175590.0,352049.0,85612.0,295103.0,801673.0,1876515.0,274691.0,1594666,1308907,285759,1653316,1.Madiga,420451.0,2.Mala,135577.0,3.Beda Jangam etc.,8268.0,1.Hindus,3040212,2.Muslims,170553,3.Christians,32452,1.Sugalis etc.,320959,2.Yerukulas,18531,3.Chenchu etc.,992,1.Nalgonda (M),110286.0,2.Suryapet (M),93239.0,3.Miryalaguda (M),90886.0,1124.0,1124.0,1124.0,1124.0,NA,NA,1098.0,599,367,NA,872,69,493,826.0,1020,934,185,50.1,26.9,23.0,2001
10,ANDHRA PRADESH,WARANGAL,3246004,1644895,1601109,14.63,2622792.0,NA,NA,NA,729110.0,4.0,973.0,955.0,457679,14.1,1595745,973527,622218,57.13,68.88,45.09,1595745.0,62694.0,428105.0,418774.0,174537.0,411463.0,99917.0,288972.0,776786.0,1898639.0,281607.0,1566237,1277468,288769,1679767,1.Madiga,406829.0,2.Mala,100126.0,3.Generic Castes etc.,13069.0,1.Hindus,3028537,2.Muslims,177217,3.Christians,33354,1.Sugalis etc.,368446,2.Koya etc.,61909,3.Yerukulas,19774,1.Warangal (M Corp.),530636.0,2.Jangaon (NP),43996.0,NA,NA,984.0,984.0,984.0,984.0,NA,NA,971.0,587,340,NA,826,84,521,735.0,864,652,321,49.9,32.8,17.2,2001
11,ANDHRA PRADESH,KHAMMAM,2578927,1305543,1273384,15.78,2068066.0,NA,NA,NA,601659.0,4.0,975.0,970.0,682617,26.47,1267944,745679,522265,56.89,66.11,47.44,1267944.0,40606.0,362116.0,377075.0,139285.0,275834.0,72950.0,231625.0,618242.0,1533620.0,195440.0,1244376,1039322,205054,1334551,1.Madiga,243899.0,2.Mala,166895.0,3.Mala Sale etc.,5417.0,1.Hindus,2406066,2.Muslims,137639,3.Christians,30777,1.Koya etc.,359582,2.Sugalis etc.,271373,3.Gond etc.,16203,1.Khammam (M),159544.0,2.Kothagudem (M),79721.0,3.Palwancha (M),69088.0,1101.0,1100.0,1090.0,1100.0,NA,NA,1000.0,417,253,NA,921,44,395,609.0,739,604,475,46.4,12.5,41.1,2001
12,ANDHRA PRADESH,SRIKAKULAM,2537593,1260020,1277573,8.93,2258934.0,NA,NA,NA,582377.0,4.0,1014.0,967.0,151249,5.96,1217659,731778,485881,55.31,67.19,43.68,1217659.0,59831.0,314768.0,406889.0,140816.0,236099.0,59134.0,226342.0,588640.0,1522214.0,200397.0,1201816,870624,331192,1335777,1.Mala,156710.0,2.Madiga,28114.0,3.Relli,21520.0,1.Hindus,2513087,2.Christians,14199,3.Muslims,7759,1.Savaras etc.,92165,2.Jatapus,24725,3.Kotia etc.,18918,1.Srikakulam (M),109905.0,2.Palasa Kasibugga (NP),49899.0,3.Amadalavalasa (NP),37931.0,1715.0,1715.0,1713.0,1715.0,NA,NA,1645.0,511,273,NA,652,67,426,925.0,1009,1153,461,47.8,8.7,43.5,2001
