geo_level,geo_code,area,literacy,sex,total,geo_version
country,IN,Urban,Literate,Male,153402248,2011
country,IN,Rural,Literate,Male,281361374,2011
country,IN,Urban,Illiterate,Male,42086952,2011
country,IN,Rural,Illiterate,Male,146419684,2011
country,IN,Urban,Literate,Female,127442729,2011
country,IN,Rural,Literate,Female,201432461,2011
country,IN,Urban,Illiterate,Female,54174196,2011
country,IN,Rural,Illiterate,Female,204535333,2011
state,1,Rural,Literate,Male,2891749,2011
state,1,Urban,Literate,Male,1372922,2011
district,1,Rural,Literate,Male,238785,2011
district,1,Urban,Literate,Male,44038,2011
district,2,Rural,Literate,Male,170641,2011
district,2,Urban,Literate,Male,37100,2011
district,3,Rural,Literate,Male,36062,2011
district,3,Urban,Literate,Male,26772,2011
district,4,Rural,Literate,Male,47674,2011
district,4,Urban,Literate,Male,8627,2011
district,5,Rural,Literate,Male,144716,2011
district,5,Urban,Literate,Male,18617,2011
district,6,Rural,Literate,Male,194113,2011
district,6,Urban,Literate,Male,30356,2011
district,7,Rural,Literate,Male,189875,2011
district,7,Urban,Literate,Male,38624,2011
district,8,Rural,Literate,Male,260880,2011
district,8,Urban,Literate,Male,76290,2011
district,9,Rural,Literate,Male,93233,2011
district,9,Urban,Literate,Male,23825,2011
district,10,Rural,Literate,Male,4812,2011
district,10,Urban,Literate,Male,426934,2011
district,11,Rural,Literate,Male,74884,2011
district,11,Urban,Literate,Male,15697,2011
district,12,Rural,Literate,Male,147229,2011
district,12,Urban,Literate,Male,31097,2011
district,13,Rural,Literate,Male,73266,2011
district,13,Urban,Literate,Male,7089,2011
district,14,Rural,Literate,Male,225013,2011
district,14,Urban,Literate,Male,99404,2011
district,15,Rural,Literate,Male,97243,2011
district,15,Urban,Literate,Male,27809,2011
district,16,Rural,Literate,Male,123819,2011
district,16,Urban,Literate,Male,14801,2011
district,17,Rural,Literate,Male,77352,2011
district,17,Urban,Literate,Male,5586,2011
district,18,Rural,Literate,Male,61934,2011
district,18,Urban,Literate,Male,6766,2011
district,19,Rural,Literate,Male,144066,2011
district,19,Urban,Literate,Male,53477,2011
district,20,Rural,Literate,Male,82502,2011
district,20,Urban,Literate,Male,11435,2011
district,21,Rural,Literate,Male,298200,2011
district,21,Urban,Literate,Male,343716,2011
district,22,Rural,Literate,Male,105450,2011
district,22,Urban,Literate,Male,24862,2011
state,2,Rural,Literate,Male,2437821,2011
state,2,Urban,Literate,Male,314769,2011
district,23,Rural,Literate,Male,169271,2011
district,23,Urban,Literate,Male,16793,2011
district,24,Rural,Literate,Male,568564,2011
district,24,Urban,Literate,Male,37879,2011
district,25,Rural,Literate,Male,12897,2011
district,25,Urban,Literate,Male,0,2011
district,26,Rural,Literate,Male,156267,2011
district,26,Urban,Literate,Male,18283,2011
district,27,Rural,Literate,Male,366395,2011
district,27,Urban,Literate,Male,27274,2011
district,28,Rural,Literate,Male,166483,2011
district,28,Urban,Literate,Male,14072,2011
district,29,Rural,Literate,Male,194476,2011
district,29,Urban,Literate,Male,18805,2011
district,30,Rural,Literate,Male,144487,2011
district,30,Urban,Literate,Male,11112,2011
district,31,Rural,Literate,Male,195211,2011
district,31,Urban,Literate,Male,49161,2011
district,32,Rural,Literate,Male,180611,2011
district,32,Urban,Literate,Male,25006,2011
district,33,Rural,Literate,Male,246462,2011
district,33,Urban,Literate,Male,96384,2011
district,34,Rural,Literate,Male,36697,2011
district,34,Urban,Literate,Male,0,2011
state,3,Rural,Literate,Male,6158807,2011
state,3,Urban,Literate,Male,4277249,2011
district,35,Rural,Literate,Male,616852,2011
district,35,Urban,Literate,Male,290808,2011
district,36,Rural,Literate,Male,196919,2011
district,36,Urban,Literate,Male,119335,2011
district,37,Rural,Literate,Male,392867,2011
district,37,Urban,Literate,Male,489714,2011
district,38,Rural,Literate,Male,496632,2011
district,38,Urban,Literate,Male,141295,2011
district,39,Rural,Literate,Male,188612,2011
district,39,Urban,Literate,Male,50543,2011
district,40,Rural,Literate,Male,160922,2011
district,40,Urban,Literate,Male,77774,2011
district,41,Rural,Literate,Male,557296,2011
district,41,Urban,Literate,Male,871052,2011
district,42,Rural,Literate,Male,260725,2011
district,42,Urban,Literate,Male,87824,2011
district,43,Rural,Literate,Male,489462,2011
district,43,Urban,Literate,Male,217608,2011
district,44,Rural,Literate,Male,204933,2011
district,44,Urban,Literate,Male,95468,2011
district,45,Rural,Literate,Male,130300,2011
district,45,Urban,Literate,Male,85467,2011
district,46,Rural,Literate,Male,287532,2011
district,46,Urban,Literate,Male,200729,2011
district,47,Rural,Literate,Male,182103,2011
district,47,Urban,Literate,Male,61934,2011
district,48,Rural,Literate,Male,393440,2011
district,48,Urban,Literate,Male,317612,2011
district,49,Rural,Literate,Male,386035,2011
district,49,Urban,Literate,Male,546946,2011
district,50,Rural,Literate,Male,323165,2011
district,50,Urban,Literate,Male,53262,2011
district,51,Rural,Literate,Male,203376,2011
district,51,Urban,Literate,Male,75158,2011
district,52,Rural,Literate,Male,178533,2011
district,52,Urban,Literate,Male,231411,2011
district,53,Rural,Literate,Male,377587,2011
district,53,Urban,Literate,Male,192826,2011
district,54,Rural,Literate,Male,131516,2011
district,54,Urban,Literate,Male,70483,2011
state,4,Rural,Literate,Male,12752,2011
state,4,Urban,Literate,Male,452594,2011
district,55,Rural,Literate,Male,12752,2011
district,55,Urban,Literate,Male,452594,2011
state,5,Rural,Literate,Male,2596171,2011
state,5,Urban,Literate,Male,1267537,2011
district,56,Rural,Literate,Male,117095,2011
district,56,Urban,Literate,Male,11142,2011
district,57,Rural,Literate,Male,126871,2011
district,57,Urban,Literate,Male,28524,2011
district,58,Rural,Literate,Male,86853,2011
district,58,Urban,Literate,Male,4950,2011
district,59,Rural,Literate,Male,195356,2011
district,59,Urban,Literate,Male,32050,2011
district,60,Rural,Literate,Male,292382,2011
district,60,Urban,Literate,Male,409834,2011
district,61,Rural,Literate,Male,213355,2011
district,61,Urban,Literate,Male,48793,2011
district,62,Rural,Literate,Male,159729,2011
district,62,Urban,Literate,Male,29894,2011
district,63,Rural,Literate,Male,93588,2011
district,63,Urban,Literate,Male,3958,2011
district,64,Rural,Literate,Male,201819,2011
district,64,Urban,Literate,Male,29785,2011
district,65,Rural,Literate,Male,86379,2011
district,65,Urban,Literate,Male,15636,2011
district,66,Rural,Literate,Male,234254,2011
district,66,Urban,Literate,Male,151525,2011
district,67,Rural,Literate,Male,379437,2011
district,67,Urban,Literate,Male,219088,2011
district,68,Rural,Literate,Male,409053,2011
district,68,Urban,Literate,Male,282358,2011
state,6,Rural,Literate,Male,6140099,2011
state,6,Urban,Literate,Male,3653968,2011
district,69,Rural,Literate,Male,95926,2011
district,69,Urban,Literate,Male,133936,2011
district,70,Rural,Literate,Male,244282,2011
district,70,Urban,Literate,Male,217006,2011
district,71,Rural,Literate,Male,276833,2011
district,71,Urban,Literate,Male,197960,2011
district,72,Rural,Literate,Male,253287,2011
district,72,Urban,Literate,Male,117541,2011
district,73,Rural,Literate,Male,293066,2011
