geo_level,geo_code,area,sex,total,geo_version
country,IN,Urban,Male,195489200,2011
country,IN,Urban,Female,181616925,2011
country,IN,Rural,Male,427781058,2011
country,IN,Rural,Female,405967794,2011
state,1,Rural,Male,4774477,2011
state,1,Urban,Male,1866185,2011
district,1,Rural,Male,412038,2011
district,1,Urban,Male,62152,2011
district,2,Rural,Male,343385,2011
district,2,Urban,Male,54656,2011
district,3,Rural,Male,48411,2011
district,3,Urban,Male,30560,2011
district,4,Rural,Male,67703,2011
district,4,Urban,Male,10082,2011
district,5,Rural,Male,229774,2011
district,5,Urban,Male,22125,2011
district,6,Rural,Male,310748,2011
district,6,Urban,Male,34603,2011
district,7,Rural,Male,278126,2011
district,7,Urban,Male,47983,2011
district,8,Rural,Male,432399,2011
district,8,Urban,Male,102334,2011
district,9,Rural,Male,172263,2011
district,9,Urban,Male,35417,2011
district,10,Rural,Male,8916,2011
district,10,Urban,Male,642208,2011
district,11,Rural,Male,133715,2011
district,11,Urban,Male,25005,2011
district,12,Rural,Male,248096,2011
district,12,Urban,Male,44968,2011
district,13,Rural,Male,127161,2011
district,13,Urban,Male,9319,2011
district,14,Rural,Male,411012,2011
district,14,Urban,Male,148755,2011
district,15,Rural,Male,175574,2011
district,15,Urban,Male,42046,2011
district,16,Rural,Male,195430,2011
district,16,Urban,Male,18211,2011
district,17,Rural,Male,142317,2011
district,17,Urban,Male,6815,2011
district,18,Rural,Male,111986,2011
district,18,Urban,Male,8179,2011
district,19,Rural,Male,232974,2011
district,19,Urban,Male,63810,2011
district,20,Rural,Male,151481,2011
district,20,Urban,Male,14980,2011
district,21,Rural,Male,401603,2011
district,21,Urban,Male,412218,2011
district,22,Rural,Male,139365,2011
district,22,Urban,Male,29759,2011
state,2,Rural,Male,3110345,2011
state,2,Urban,Male,371528,2011
district,23,Rural,Male,241963,2011
district,23,Urban,Male,19357,2011
district,24,Rural,Male,705365,2011
district,24,Urban,Male,45226,2011
district,25,Rural,Male,16588,2011
district,25,Urban,Male,0,2011
district,26,Rural,Male,203269,2011
district,26,Urban,Male,22183,2011
district,27,Rural,Male,466050,2011
district,27,Urban,Male,32015,2011
district,28,Rural,Male,200748,2011
district,28,Urban,Male,16322,2011
district,29,Rural,Male,240254,2011
district,29,Urban,Male,23438,2011
district,30,Rural,Male,179653,2011
district,30,Urban,Male,13111,2011
district,31,Rural,Male,249736,2011
district,31,Urban,Male,59018,2011
district,32,Rural,Male,246175,2011
district,32,Urban,Male,30114,2011
district,33,Rural,Male,314295,2011
district,33,Urban,Male,110744,2011
district,34,Rural,Male,46249,2011
district,34,Urban,Male,0,2011
state,3,Rural,Male,9093476,2011
state,3,Urban,Male,5545989,2011
district,35,Rural,Male,855784,2011
district,35,Urban,Male,356833,2011
district,36,Rural,Male,275932,2011
district,36,Urban,Male,150379,2011
district,37,Rural,Male,528790,2011
district,37,Urban,Male,616421,2011
district,38,Rural,Male,634470,2011
district,38,Urban,Male,174587,2011
district,39,Rural,Male,248118,2011
district,39,Urban,Male,65173,2011
district,40,Rural,Male,220050,2011
district,40,Urban,Male,100745,2011
district,41,Rural,Male,753444,2011
district,41,Urban,Male,1114372,2011
district,42,Rural,Male,405704,2011
district,42,Urban,Male,120216,2011
district,43,Rural,Male,776208,2011
district,43,Urban,Male,295429,2011
district,44,Rural,Male,342202,2011
district,44,Urban,Male,133420,2011
district,45,Rural,Male,210782,2011
district,45,Urban,Male,115889,2011
district,46,Rural,Male,474484,2011
district,46,Urban,Male,268713,2011
district,47,Rural,Male,322184,2011
district,47,Urban,Male,86548,2011
district,48,Rural,Male,598800,2011
district,48,Urban,Male,403722,2011
district,49,Rural,Male,607266,2011
