geo_level,geo_code,age,area,sex,total,geo_version
country,IN,0-4,Rural,Female,39950283,2011
country,IN,5-9,Rural,Female,44982353,2011
country,IN,10-14,Rural,Female,46316336,2011
country,IN,15-19,Rural,Female,39331915,2011
country,IN,20-24,Rural,Female,35696384,2011
country,IN,25-29,Rural,Female,32692281,2011
country,IN,30-34,Rural,Female,28977587,2011
country,IN,35-39,Rural,Female,27937146,2011
country,IN,40-44,Rural,Female,23015773,2011
country,IN,45-49,Rural,Female,19823958,2011
country,IN,50-54,Rural,Female,15242241,2011
country,IN,55-59,Rural,Female,13324985,2011
country,IN,60-64,Rural,Female,13359653,2011
country,IN,65-69,Rural,Female,9707959,2011
country,IN,70-74,Rural,Female,6829421,2011
country,IN,75-79,Rural,Female,3270293,2011
country,IN,80+,Rural,Female,4129194,2011
country,IN,Age not stated,Rural,Female,1380032,2011
state,1,0-4,Rural,Female,514398,2011
state,1,5-9,Rural,Female,524062,2011
state,1,10-14,Rural,Female,521725,2011
state,1,15-19,Rural,Female,449010,2011
state,1,20-24,Rural,Female,404069,2011
state,1,25-29,Rural,Female,353024,2011
state,1,30-34,Rural,Female,303075,2011
state,1,35-39,Rural,Female,274557,2011
state,1,40-44,Rural,Female,226234,2011
state,1,45-49,Rural,Female,190923,2011
state,1,50-54,Rural,Female,146188,2011
state,1,55-59,Rural,Female,112854,2011
state,1,60-64,Rural,Female,104765,2011
state,1,65-69,Rural,Female,69940,2011
state,1,70-74,Rural,Female,61307,2011
state,1,75-79,Rural,Female,28938,2011
state,1,80+,Rural,Female,44530,2011
state,1,Age not stated,Rural,Female,3984,2011
state,2,0-4,Rural,Female,239188,2011
state,2,5-9,Rural,Female,255118,2011
state,2,10-14,Rural,Female,274765,2011
state,2,15-19,Rural,Female,275437,2011
state,2,20-24,Rural,Female,288272,2011
state,2,25-29,Rural,Female,268589,2011
state,2,30-34,Rural,Female,246103,2011
state,2,35-39,Rural,Female,231369,2011
state,2,40-44,Rural,Female,199498,2011
state,2,45-49,Rural,Female,177304,2011
state,2,50-54,Rural,Female,149619,2011
state,2,55-59,Rural,Female,120095,2011
state,2,60-64,Rural,Female,106932,2011
state,2,65-69,Rural,Female,74146,2011
state,2,70-74,Rural,Female,63682,2011
state,2,75-79,Rural,Female,36397,2011
state,2,80+,Rural,Female,54704,2011
state,2,Age not stated,Rural,Female,4487,2011
state,3,0-4,Rural,Female,621385,2011
state,3,5-9,Rural,Female,679117,2011
state,3,10-14,Rural,Female,737462,2011
state,3,15-19,Rural,Female,810596,2011
state,3,20-24,Rural,Female,818094,2011
state,3,25-29,Rural,Female,717260,2011
state,3,30-34,Rural,Female,627238,2011
state,3,35-39,Rural,Female,598593,2011
state,3,40-44,Rural,Female,546738,2011
state,3,45-49,Rural,Female,469359,2011
state,3,50-54,Rural,Female,351994,2011
state,3,55-59,Rural,Female,285350,2011
state,3,60-64,Rural,Female,344904,2011
state,3,65-69,Rural,Female,238287,2011
state,3,70-74,Rural,Female,164996,2011
state,3,75-79,Rural,Female,86608,2011
state,3,80+,Rural,Female,138958,2011
state,3,Age not stated,Rural,Female,13777,2011
state,4,0-4,Rural,Female,1410,2011
state,4,5-9,Rural,Female,1349,2011
state,4,10-14,Rural,Female,1116,2011
state,4,15-19,Rural,Female,978,2011
state,4,20-24,Rural,Female,1338,2011
state,4,25-29,Rural,Female,1546,2011
state,4,30-34,Rural,Female,1199,2011
state,4,35-39,Rural,Female,866,2011
state,4,40-44,Rural,Female,600,2011
state,4,45-49,Rural,Female,411,2011
state,4,50-54,Rural,Female,308,2011
state,4,55-59,Rural,Female,231,2011
state,4,60-64,Rural,Female,204,2011
state,4,65-69,Rural,Female,115,2011
state,4,70-74,Rural,Female,85,2011
state,4,75-79,Rural,Female,32,2011
state,4,80+,Rural,Female,51,2011
state,4,Age not stated,Rural,Female,2,2011
state,5,0-4,Rural,Female,320356,2011
state,5,5-9,Rural,Female,366327,2011
state,5,10-14,Rural,Female,400840,2011
state,5,15-19,Rural,Female,385829,2011
state,5,20-24,Rural,Female,335596,2011
state,5,25-29,Rural,Female,276477,2011
state,5,30-34,Rural,Female,237266,2011
state,5,35-39,Rural,Female,226106,2011
state,5,40-44,Rural,Female,191592,2011
state,5,45-49,Rural,Female,164945,2011
state,5,50-54,Rural,Female,137037,2011
state,5,55-59,Rural,Female,120404,2011
state,5,60-64,Rural,Female,125528,2011
state,5,65-69,Rural,Female,84262,2011
state,5,70-74,Rural,Female,64302,2011
state,5,75-79,Rural,Female,33864,2011
state,5,80+,Rural,Female,42457,2011
state,5,Age not stated,Rural,Female,4724,2011
state,6,0-4,Rural,Female,732300,2011
state,6,5-9,Rural,Female,759410,2011
state,6,10-14,Rural,Female,816773,2011
state,6,15-19,Rural,Female,805600,2011
state,6,20-24,Rural,Female,769002,2011
state,6,25-29,Rural,Female,646512,2011
state,6,30-34,Rural,Female,568791,2011
state,6,35-39,Rural,Female,528103,2011
state,6,40-44,Rural,Female,451413,2011
state,6,45-49,Rural,Female,361716,2011
state,6,50-54,Rural,Female,279793,2011
state,6,55-59,Rural,Female,238544,2011
state,6,60-64,Rural,Female,297321,2011
state,6,65-69,Rural,Female,171688,2011
state,6,70-74,Rural,Female,129624,2011
state,6,75-79,Rural,Female,68863,2011
state,6,80+,Rural,Female,100330,2011
state,6,Age not stated,Rural,Female,9570,2011
state,7,0-4,Rural,Female,17644,2011
state,7,5-9,Rural,Female,18896,2011
state,7,10-14,Rural,Female,20404,2011
state,7,15-19,Rural,Female,19451,2011
state,7,20-24,Rural,Female,20602,2011
state,7,25-29,Rural,Female,18666,2011
state,7,30-34,Rural,Female,16402,2011
state,7,35-39,Rural,Female,14910,2011
state,7,40-44,Rural,Female,11782,2011
state,7,45-49,Rural,Female,8695,2011
state,7,50-54,Rural,Female,6430,2011
state,7,55-59,Rural,Female,4927,2011
state,7,60-64,Rural,Female,5924,2011
state,7,65-69,Rural,Female,2998,2011
state,7,70-74,Rural,Female,2147,2011
state,7,75-79,Rural,Female,1067,2011
state,7,80+,Rural,Female,1540,2011
state,7,Age not stated,Rural,Female,236,2011
state,8,0-4,Rural,Female,2725194,2011
state,8,5-9,Rural,Female,2989398,2011
state,8,10-14,Rural,Female,3090457,2011
state,8,15-19,Rural,Female,2578852,2011
state,8,20-24,Rural,Female,2211087,2011
state,8,25-29,Rural,Female,1850840,2011
state,8,30-34,Rural,Female,1696706,2011
state,8,35-39,Rural,Female,1544561,2011
state,8,40-44,Rural,Female,1314207,2011
state,8,45-49,Rural,Female,1115603,2011
state,8,50-54,Rural,Female,849535,2011
state,8,55-59,Rural,Female,715210,2011
state,8,60-64,Rural,Female,677057,2011
state,8,65-69,Rural,Female,522444,2011
