geo_level,geo_code,area,sex,education,total,geo_version
country,IN,Rural,Male,Literate Without Level,12879121,2011
country,IN,Urban,Male,Literate Without Level,6399295,2011
state,1,Rural,Male,Literate Without Level,71510,2011
state,1,Urban,Male,Literate Without Level,52499,2011
state,2,Rural,Male,Literate Without Level,58588,2011
state,2,Urban,Male,Literate Without Level,5949,2011
state,3,Rural,Male,Literate Without Level,185107,2011
state,3,Urban,Male,Literate Without Level,114829,2011
state,4,Rural,Male,Literate Without Level,168,2011
state,4,Urban,Male,Literate Without Level,5418,2011
state,5,Rural,Male,Literate Without Level,47334,2011
state,5,Urban,Male,Literate Without Level,25562,2011
state,6,Rural,Male,Literate Without Level,129046,2011
state,6,Urban,Male,Literate Without Level,83213,2011
state,7,Rural,Male,Literate Without Level,4460,2011
state,7,Urban,Male,Literate Without Level,235492,2011
state,8,Rural,Male,Literate Without Level,791987,2011
state,8,Urban,Male,Literate Without Level,292861,2011
state,9,Rural,Male,Literate Without Level,2347662,2011
state,9,Urban,Male,Literate Without Level,871544,2011
state,10,Rural,Male,Literate Without Level,1550711,2011
state,10,Urban,Male,Literate Without Level,198215,2011
state,11,Rural,Male,Literate Without Level,8185,2011
state,11,Urban,Male,Literate Without Level,1973,2011
state,12,Rural,Male,Literate Without Level,9511,2011
state,12,Urban,Male,Literate Without Level,3018,2011
state,13,Rural,Male,Literate Without Level,27913,2011
state,13,Urban,Male,Literate Without Level,11426,2011
state,14,Rural,Male,Literate Without Level,35530,2011
state,14,Urban,Male,Literate Without Level,11903,2011
state,15,Rural,Male,Literate Without Level,3565,2011
state,15,Urban,Male,Literate Without Level,2723,2011
state,16,Rural,Male,Literate Without Level,56225,2011
state,16,Urban,Male,Literate Without Level,18700,2011
state,17,Rural,Male,Literate Without Level,34681,2011
state,17,Urban,Male,Literate Without Level,6428,2011
state,18,Rural,Male,Literate Without Level,440255,2011
state,18,Urban,Male,Literate Without Level,67359,2011
state,19,Rural,Male,Literate Without Level,647306,2011
state,19,Urban,Male,Literate Without Level,401660,2011
state,20,Rural,Male,Literate Without Level,365222,2011
state,20,Urban,Male,Literate Without Level,89268,2011
state,21,Rural,Male,Literate Without Level,364474,2011
state,21,Urban,Male,Literate Without Level,74323,2011
state,22,Rural,Male,Literate Without Level,156656,2011
state,22,Urban,Male,Literate Without Level,47946,2011
