geo_level,geo_code,area,sex,maritalstatus,total,geo_version
country,IN,Rural,Male,never married,224507507,2011
country,IN,Urban,Male,never married,98363020,2011
state,1,Rural,Male,never married,2826384,2011
state,1,Urban,Male,never married,976679,2011
state,2,Rural,Male,never married,1542516,2011
state,2,Urban,Male,never married,178259,2011
state,3,Rural,Male,never married,4570634,2011
state,3,Urban,Male,never married,2710697,2011
state,4,Rural,Male,never married,8812,2011
state,4,Urban,Male,never married,280678,2011
state,5,Rural,Male,never married,1961990,2011
state,5,Urban,Male,never married,879161,2011
state,6,Rural,Male,never married,4599173,2011
state,6,Urban,Male,never married,2377050,2011
state,7,Rural,Male,never married,120204,2011
state,7,Urban,Male,never married,4502445,2011
state,8,Rural,Male,never married,14025435,2011
state,8,Urban,Male,never married,4571582,2011
state,9,Rural,Male,never married,46077005,2011
state,9,Urban,Male,never married,13276187,2011
state,10,Rural,Male,never married,26967206,2011
state,10,Urban,Male,never married,3496538,2011
state,11,Rural,Male,never married,127477,2011
state,11,Urban,Male,never married,40544,2011
state,12,Rural,Male,never married,319912,2011
state,12,Urban,Male,never married,90917,2011
state,13,Rural,Male,never married,458725,2011
state,13,Urban,Male,never married,180432,2011
state,14,Rural,Male,never married,598268,2011
state,14,Urban,Male,never married,219135,2011
state,15,Rural,Male,never married,156210,2011
state,15,Urban,Male,never married,161984,2011
state,16,Rural,Male,never married,708263,2011
state,16,Urban,Male,never married,225909,2011
state,17,Rural,Male,never married,753342,2011
state,17,Urban,Male,never married,179031,2011
state,18,Rural,Male,never married,7665773,2011
state,18,Urban,Male,never married,1154642,2011
state,19,Rural,Male,never married,15838382,2011
state,19,Urban,Male,never married,7092497,2011
state,20,Rural,Male,never married,6971289,2011
state,20,Urban,Male,never married,2253076,2011
state,21,Rural,Male,never married,8914841,2011
state,21,Urban,Male,never married,1853024,2011
state,22,Rural,Male,never married,5003895,2011
state,22,Urban,Male,never married,1569087,2011
state,23,Rural,Male,never married,14178326,2011
state,23,Urban,Male,never married,5458430,2011
state,24,Rural,Male,never married,8749937,2011
state,24,Urban,Male,never married,6548979,2011
state,25,Rural,Male,never married,17924,2011
state,25,Urban,Male,never married,60704,2011
state,26,Rural,Male,never married,53361,2011
state,26,Urban,Male,never married,47796,2011
state,27,Rural,Male,never married,15349679,2011
state,27,Urban,Male,never married,12907784,2011
state,29,Rural,Male,never married,9514261,2011
state,29,Urban,Male,never married,6031397,2011
state,30,Rural,Male,never married,135809,2011
state,30,Urban,Male,never married,226734,2011
state,31,Rural,Male,never married,3663,2011
state,31,Urban,Male,never married,13303,2011
state,32,Rural,Male,never married,4013906,2011
state,32,Urban,Male,never married,3660350,2011
state,33,Rural,Male,never married,8889195,2011
state,33,Urban,Male,never married,7977824,2011
state,34,Rural,Male,never married,96915,2011
state,34,Urban,Male,never married,198166,2011
state,35,Rural,Male,never married,61403,2011
state,35,Urban,Male,never married,37179,2011
district,1,Rural,Male,never married,261875,2011
district,1,Urban,Male,never married,35004,2011
district,2,Rural,Male,never married,228316,2011
district,2,Urban,Male,never married,30103,2011
district,3,Rural,Male,never married,23259,2011
district,3,Urban,Male,never married,11375,2011
district,4,Rural,Male,never married,36801,2011
district,4,Urban,Male,never married,4476,2011
district,5,Rural,Male,never married,131926,2011
district,5,Urban,Male,never married,11248,2011
district,6,Rural,Male,never married,178910,2011
district,6,Urban,Male,never married,13712,2011
district,7,Rural,Male,never married,154192,2011
district,7,Urban,Male,never married,24967,2011
district,8,Rural,Male,never married,263699,2011
district,8,Urban,Male,never married,51408,2011
district,9,Rural,Male,never married,105074,2011
district,9,Urban,Male,never married,19976,2011
district,10,Rural,Male,never married,5262,2011
district,10,Urban,Male,never married,356687,2011
district,11,Rural,Male,never married,80011,2011
district,11,Urban,Male,never married,14985,2011
district,12,Rural,Male,never married,144739,2011
district,12,Urban,Male,never married,23950,2011
district,13,Rural,Male,never married,74224,2011
district,13,Urban,Male,never married,4478,2011
district,14,Rural,Male,never married,261312,2011
district,14,Urban,Male,never married,89449,2011
district,15,Rural,Male,never married,104797,2011
district,15,Urban,Male,never married,23050,2011
district,16,Rural,Male,never married,110773,2011
district,16,Urban,Male,never married,9568,2011
district,17,Rural,Male,never married,83532,2011
state,12,Rural,Male,widowed,8707,2011
district,17,Urban,Male,never married,3152,2011
district,18,Rural,Male,never married,63847,2011
district,18,Urban,Male,never married,4106,2011
district,19,Rural,Male,never married,131346,2011
district,19,Urban,Male,never married,27902,2011
district,20,Rural,Male,never married,87714,2011
district,20,Urban,Male,never married,7464,2011
district,21,Rural,Male,never married,219501,2011
district,21,Urban,Male,never married,194985,2011
district,22,Rural,Male,never married,75274,2011
district,22,Urban,Male,never married,14634,2011
district,23,Rural,Male,never married,127086,2011
district,23,Urban,Male,never married,9115,2011
district,24,Rural,Male,never married,355724,2011
district,24,Urban,Male,never married,22571,2011
district,25,Rural,Male,never married,8154,2011
district,25,Urban,Male,never married,0,2011
district,26,Rural,Male,never married,98658,2011
district,26,Urban,Male,never married,10327,2011
district,27,Rural,Male,never married,219219,2011
district,27,Urban,Male,never married,14315,2011
district,28,Rural,Male,never married,98555,2011
district,28,Urban,Male,never married,8036,2011
district,29,Rural,Male,never married,122548,2011
district,29,Urban,Male,never married,11769,2011
district,30,Rural,Male,never married,86468,2011
district,30,Urban,Male,never married,6303,2011
district,31,Rural,Male,never married,121622,2011
district,31,Urban,Male,never married,28284,2011
district,32,Rural,Male,never married,133197,2011
district,32,Urban,Male,never married,14811,2011
district,33,Rural,Male,never married,151607,2011
district,33,Urban,Male,never married,52728,2011
district,34,Rural,Male,never married,19678,2011
district,34,Urban,Male,never married,0,2011
district,35,Rural,Male,never married,443838,2011
district,35,Urban,Male,never married,173485,2011
district,36,Rural,Male,never married,139745,2011
district,36,Urban,Male,never married,72638,2011
district,37,Rural,Male,never married,271824,2011
district,37,Urban,Male,never married,301235,2011
district,38,Rural,Male,never married,328352,2011
district,38,Urban,Male,never married,86004,2011
district,39,Rural,Male,never married,126943,2011
district,39,Urban,Male,never married,32858,2011
district,40,Rural,Male,never married,106029,2011
district,40,Urban,Male,never married,48694,2011
district,41,Rural,Male,never married,374149,2011
district,41,Urban,Male,never married,545424,2011
district,42,Rural,Male,never married,205099,2011
district,42,Urban,Male,never married,59909,2011
district,43,Rural,Male,never married,390773,2011
district,43,Urban,Male,never married,147146,2011
district,44,Rural,Male,never married,167289,2011
district,44,Urban,Male,never married,67485,2011
district,45,Rural,Male,never married,102300,2011
district,45,Urban,Male,never married,56801,2011
district,46,Rural,Male,never married,228189,2011
district,46,Urban,Male,never married,128760,2011
district,47,Rural,Male,never married,161186,2011
district,47,Urban,Male,never married,42868,2011
district,48,Rural,Male,never married,292483,2011
district,48,Urban,Male,never married,192208,2011
district,49,Rural,Male,never married,315097,2011
district,49,Urban,Male,never married,349023,2011
district,50,Rural,Male,never married,268064,2011
district,50,Urban,Male,never married,38073,2011
district,51,Rural,Male,never married,132023,2011
district,51,Urban,Male,never married,45639,2011
district,52,Rural,Male,never married,118770,2011
district,52,Urban,Male,never married,135165,2011
district,53,Rural,Male,never married,294543,2011
district,53,Urban,Male,never married,137655,2011
district,54,Rural,Male,never married,103938,2011
district,54,Urban,Male,never married,49627,2011
district,55,Rural,Male,never married,8812,2011
district,55,Urban,Male,never married,280678,2011
district,56,Rural,Male,never married,83859,2011
district,56,Urban,Male,never married,7022,2011
district,57,Rural,Male,never married,86840,2011
district,57,Urban,Male,never married,17336,2011
district,58,Rural,Male,never married,60273,2011
district,58,Urban,Male,never married,2855,2011
district,59,Rural,Male,never married,144457,2011
district,59,Urban,Male,never married,20818,2011
district,60,Rural,Male,never married,216742,2011
district,60,Urban,Male,never married,258708,2011
district,61,Rural,Male,never married,146089,2011
district,61,Urban,Male,never married,32750,2011
district,62,Rural,Male,never married,105735,2011
district,62,Urban,Male,never married,20644,2011
district,63,Rural,Male,never married,63675,2011
district,63,Urban,Male,never married,2579,2011
district,64,Rural,Male,never married,143083,2011
district,64,Urban,Male,never married,17717,2011
district,65,Rural,Male,never married,61986,2011
district,65,Urban,Male,never married,11443,2011
district,66,Rural,Male,never married,165693,2011
district,66,Urban,Male,never married,107844,2011
district,67,Rural,Male,never married,311243,2011
district,67,Urban,Male,never married,176759,2011
district,68,Rural,Male,never married,372315,2011
district,68,Urban,Male,never married,202686,2011
district,69,Rural,Male,never married,67254,2011
district,69,Urban,Male,never married,78108,2011
district,70,Rural,Male,never married,164725,2011
district,70,Urban,Male,never married,128857,2011
district,71,Rural,Male,never married,202840,2011
district,71,Urban,Male,never married,127249,2011
district,72,Rural,Male,never married,182223,2011
district,72,Urban,Male,never married,77142,2011
district,73,Rural,Male,never married,234052,2011
district,73,Urban,Male,never married,64539,2011
district,74,Rural,Male,never married,289611,2011
district,74,Urban,Male,never married,120478,2011
district,75,Rural,Male,never married,186879,2011
district,75,Urban,Male,never married,155936,2011
district,76,Rural,Male,never married,285308,2011
district,76,Urban,Male,never married,123474,2011
district,77,Rural,Male,never married,287964,2011
district,77,Urban,Male,never married,83124,2011
district,78,Rural,Male,never married,205580,2011
district,78,Urban,Male,never married,48101,2011
district,79,Rural,Male,never married,257478,2011
district,79,Urban,Male,never married,85086,2011
district,80,Rural,Male,never married,329840,2011
district,80,Urban,Male,never married,148060,2011
district,81,Rural,Male,never married,364289,2011
district,81,Urban,Male,never married,88438,2011
district,82,Rural,Male,never married,175139,2011
district,82,Urban,Male,never married,120075,2011
district,83,Rural,Male,never married,197449,2011
district,83,Urban,Male,never married,66390,2011
district,84,Rural,Male,never married,210020,2011
district,84,Urban,Male,never married,35629,2011
district,85,Rural,Male,never married,173033,2011
district,85,Urban,Male,never married,62956,2011
district,86,Rural,Male,never married,126363,2011
district,86,Urban,Male,never married,266550,2011
district,87,Rural,Male,never married,308233,2011
district,87,Urban,Male,never married,37323,2011
district,88,Rural,Male,never married,108620,2011
district,88,Urban,Male,never married,391333,2011
district,89,Rural,Male,never married,242273,2011
district,89,Urban,Male,never married,68202,2011
district,90,Rural,Male,never married,62679,2011
district,90,Urban,Male,never married,955200,2011
district,91,Rural,Male,never married,5135,2011
district,91,Urban,Male,never married,244658,2011
district,92,Rural,Male,never married,6580,2011
district,92,Urban,Male,never married,649970,2011
district,93,Rural,Male,never married,869,2011
district,93,Urban,Male,never married,458038,2011
district,94,Rural,Male,never married,0,2011
district,94,Urban,Male,never married,37598,2011
district,95,Rural,Male,never married,0,2011
district,95,Urban,Male,never married,161352,2011
district,96,Rural,Male,never married,1715,2011
district,96,Urban,Male,never married,669901,2011
district,97,Rural,Male,never married,39553,2011
district,97,Urban,Male,never married,576195,2011
district,98,Rural,Male,never married,3673,2011
district,98,Urban,Male,never married,749533,2011
district,99,Rural,Male,never married,386127,2011
district,99,Urban,Male,never married,144326,2011
district,100,Rural,Male,never married,377677,2011
district,100,Urban,Male,never married,94670,2011
district,101,Rural,Male,never married,460146,2011
district,101,Urban,Male,never married,210666,2011
district,102,Rural,Male,never married,406067,2011
district,102,Urban,Male,never married,157923,2011
district,103,Rural,Male,never married,458623,2011
district,103,Urban,Male,never married,140056,2011
district,104,Rural,Male,never married,845055,2011
district,104,Urban,Male,never married,178974,2011
district,105,Rural,Male,never married,618441,2011
district,105,Urban,Male,never married,142805,2011
district,106,Rural,Male,never married,313159,2011
district,106,Urban,Male,never married,77527,2011
district,107,Rural,Male,never married,373921,2011
district,107,Urban,Male,never married,63581,2011
district,108,Rural,Male,never married,295831,2011
district,108,Urban,Male,never married,74011,2011
district,109,Rural,Male,never married,401652,2011
district,109,Urban,Male,never married,55906,2011
district,110,Rural,Male,never married,856151,2011
district,110,Urban,Male,never married,933160,2011
district,111,Rural,Male,never married,571808,2011
district,111,Urban,Male,never married,176272,2011
district,112,Rural,Male,never married,704349,2011
district,112,Urban,Male,never married,174458,2011
district,113,Rural,Male,never married,696639,2011
district,113,Urban,Male,never married,333763,2011
district,114,Rural,Male,never married,183007,2011
district,114,Urban,Male,never married,24365,2011
district,115,Rural,Male,never married,735110,2011
district,115,Urban,Male,never married,49788,2011
district,116,Rural,Male,never married,476940,2011
district,116,Urban,Male,never married,43162,2011
district,117,Rural,Male,never married,236982,2011
district,117,Urban,Male,never married,58321,2011
district,118,Rural,Male,never married,410158,2011
district,118,Urban,Male,never married,123692,2011
district,119,Rural,Male,never married,388375,2011
district,119,Urban,Male,never married,261130,2011
district,120,Rural,Male,never married,270947,2011
district,120,Urban,Male,never married,86108,2011
district,121,Rural,Male,never married,228932,2011
