geo_level,geo_code,religion,area,sex,total,geo_version
country,IN,Hindu,Rural,Male,351423647,2011
country,IN,Muslim,Rural,Male,52870001,2011
country,IN,Christian,Rural,Male,8295745,2011
country,IN,Sikh,Rural,Male,7839048,2011
country,IN,Buddhist,Rural,Male,2457022,2011
country,IN,Jain,Rural,Male,467577,2011
country,IN,Other religions and persuasions,Rural,Male,3583894,2011
country,IN,Religion not stated,Rural,Male,844124,2011
country,IN,Hindu,Urban,Male,146883321,2011
country,IN,Muslim,Urban,Male,35403944,2011
country,IN,Christian,Urban,Male,5455286,2011
country,IN,Sikh,Urban,Male,3109383,2011
country,IN,Buddhist,Urban,Male,1838988,2011
country,IN,Jain,Urban,Male,1810520,2011
country,IN,Other religions and persuasions,Urban,Male,368170,2011
country,IN,Religion not stated,Urban,Male,619588,2011
state,1,Hindu,Rural,Male,1361954,2011
state,1,Muslim,Rural,Male,3284844,2011
state,1,Christian,Rural,Male,9591,2011
state,1,Sikh,Rural,Male,65442,2011
state,1,Buddhist,Rural,Male,43724,2011
state,1,Jain,Rural,Male,180,2011
state,1,Other religions and persuasions,Rural,Male,664,2011
state,1,Religion not stated,Rural,Male,8078,2011
state,1,Hindu,Urban,Male,625067,2011
state,1,Muslim,Urban,Male,1143930,2011
state,1,Christian,Urban,Male,11932,2011
state,1,Sikh,Urban,Male,67455,2011
state,1,Buddhist,Urban,Male,12718,2011
state,1,Jain,Urban,Male,1130,2011
state,1,Other religions and persuasions,Urban,Male,138,2011
state,1,Religion not stated,Urban,Male,3815,2011
state,2,Hindu,Rural,Male,2973048,2011
state,2,Muslim,Rural,Male,67345,2011
state,2,Christian,Rural,Male,4426,2011
state,2,Sikh,Rural,Male,29888,2011
state,2,Buddhist,Rural,Male,31295,2011
state,2,Jain,Rural,Male,251,2011
state,2,Other religions and persuasions,Rural,Male,414,2011
state,2,Religion not stated,Rural,Male,3678,2011
state,2,Hindu,Urban,Male,333947,2011
state,2,Muslim,Urban,Male,13418,2011
state,2,Christian,Urban,Male,2418,2011
state,2,Sikh,Urban,Male,11606,2011
state,2,Buddhist,Urban,Male,8938,2011
state,2,Jain,Urban,Male,694,2011
state,2,Other religions and persuasions,Urban,Male,47,2011
state,2,Religion not stated,Urban,Male,460,2011
state,3,Hindu,Rural,Male,2305842,2011
state,3,Muslim,Rural,Male,146824,2011
state,3,Christian,Rural,Male,126885,2011
state,3,Sikh,Rural,Male,6474159,2011
state,3,Buddhist,Rural,Male,12090,2011
state,3,Jain,Rural,Male,2328,2011
state,3,Other religions and persuasions,Rural,Male,3467,2011
state,3,Religion not stated,Rural,Male,21881,2011
state,3,Hindu,Urban,Male,3378052,2011
state,3,Muslim,Urban,Male,140710,2011
state,3,Christian,Urban,Male,55156,2011
state,3,Sikh,Urban,Male,1921638,2011
state,3,Buddhist,Urban,Male,5086,2011
state,3,Jain,Urban,Male,21232,2011
state,3,Other religions and persuasions,Urban,Male,2268,2011
state,3,Religion not stated,Urban,Male,21847,2011
state,4,Hindu,Rural,Male,13981,2011
state,4,Muslim,Rural,Male,805,2011
state,4,Christian,Rural,Male,82,2011
state,4,Sikh,Rural,Male,2251,2011
state,4,Buddhist,Rural,Male,3,2011
state,4,Jain,Rural,Male,7,2011
state,4,Other religions and persuasions,Rural,Male,14,2011
state,4,Religion not stated,Rural,Male,7,2011
state,4,Hindu,Urban,Male,458788,2011
state,4,Muslim,Urban,Male,29084,2011
state,4,Christian,Urban,Male,4381,2011
state,4,Sikh,Urban,Male,69049,2011
state,4,Buddhist,Urban,Male,590,2011
state,4,Jain,Urban,Male,990,2011
state,4,Other religions and persuasions,Urban,Male,138,2011
state,4,Religion not stated,Urban,Male,493,2011
state,5,Hindu,Rural,Male,2993138,2011
state,5,Muslim,Rural,Male,414079,2011
state,5,Christian,Rural,Male,8703,2011
state,5,Sikh,Rural,Male,93798,2011
state,5,Buddhist,Rural,Male,4351,2011
state,5,Jain,Rural,Male,510,2011
state,5,Other religions and persuasions,Rural,Male,358,2011
state,5,Religion not stated,Rural,Male,4105,2011
state,5,Hindu,Urban,Male,1241246,2011
state,5,Muslim,Urban,Male,325978,2011
state,5,Christian,Urban,Male,10736,2011
state,5,Sikh,Urban,Male,29781,2011
state,5,Buddhist,Urban,Male,4559,2011
state,5,Jain,Urban,Male,4237,2011
state,5,Other religions and persuasions,Urban,Male,146,2011
state,5,Religion not stated,Urban,Male,2048,2011
state,6,Hindu,Rural,Male,7524114,2011
state,6,Muslim,Rural,Male,747559,2011
state,6,Christian,Rural,Male,9235,2011
state,6,Sikh,Rural,Male,479305,2011
state,6,Buddhist,Rural,Male,1562,2011
state,6,Jain,Rural,Male,1871,2011
state,6,Other religions and persuasions,Rural,Male,504,2011
state,6,Religion not stated,Rural,Male,9856,2011
state,6,Hindu,Urban,Male,4296968,2011
state,6,Muslim,Urban,Male,192468,2011
state,6,Christian,Urban,Male,16930,2011
state,6,Sikh,Urban,Male,174163,2011
state,6,Buddhist,Urban,Male,2537,2011
state,6,Jain,Urban,Male,25487,2011
state,6,Other religions and persuasions,Urban,Male,607,2011
state,6,Religion not stated,Urban,Male,11568,2011
state,7,Hindu,Rural,Male,207567,2011
state,7,Muslim,Rural,Male,15703,2011
state,7,Christian,Rural,Male,580,2011
state,7,Sikh,Rural,Male,2105,2011
state,7,Buddhist,Rural,Male,86,2011
state,7,Jain,Rural,Male,94,2011
state,7,Other religions and persuasions,Rural,Male,17,2011
state,7,Religion not stated,Rural,Male,169,2011
state,7,Hindu,Urban,Male,7146027,2011
state,7,Muslim,Urban,Male,1148231,2011
state,7,Christian,Urban,Male,70858,2011
state,7,Sikh,Urban,Male,292298,2011
state,7,Buddhist,Urban,Male,9520,2011
state,7,Jain,Urban,Male,85511,2011
state,7,Other religions and persuasions,Urban,Male,1131,2011
state,7,Religion not stated,Urban,Male,7429,2011
state,8,Hindu,Rural,Male,24505347,2011
state,8,Muslim,Rural,Male,1626309,2011
state,8,Christian,Rural,Male,23643,2011
state,8,Sikh,Rural,Male,371222,2011
state,8,Buddhist,Rural,Male,4202,2011
state,8,Jain,Rural,Male,84649,2011
state,8,Other religions and persuasions,Rural,Male,1731,2011
state,8,Religion not stated,Rural,Male,24644,2011
state,8,Hindu,Urban,Male,6980485,2011
state,8,Muslim,Urban,Male,1567221,2011
state,8,Christian,Urban,Male,25244,2011
state,8,Sikh,Urban,Male,88184,2011
state,8,Buddhist,Urban,Male,2180,2011
state,8,Jain,Urban,Male,232965,2011
state,8,Other religions and persuasions,Urban,Male,668,2011
state,8,Religion not stated,Urban,Male,12303,2011
state,9,Hindu,Rural,Male,67946465,2011
state,9,Muslim,Rural,Male,12407505,2011
state,9,Christian,Rural,Male,95851,2011
state,9,Sikh,Rural,Male,228192,2011
state,9,Buddhist,Rural,Male,91273,2011
state,9,Jain,Rural,Male,15852,2011
