geo_level,geo_code,area,workerssex,workers,total,geo_version
country,IN,Rural,Male,Main workers,178095330,2011
country,IN,Urban,Male,Main workers,95114646,2011
state,1,Rural,Male,Main workers,1453157,2011
state,1,Urban,Male,Main workers,852631,2011
state,2,Rural,Male,Main workers,1247874,2011
state,2,Urban,Male,Main workers,191115,2011
state,3,Rural,Male,Main workers,4417839,2011
state,3,Urban,Male,Main workers,2846792,2011
state,4,Rural,Male,Main workers,10356,2011
state,4,Urban,Male,Main workers,306834,2011
state,5,Rural,Male,Main workers,1322523,2011
state,5,Urban,Male,Main workers,748237,2011
state,6,Rural,Male,Main workers,3672588,2011
state,6,Urban,Male,Main workers,2188012,2011
state,7,Rural,Male,Main workers,103568,2011
state,7,Urban,Male,Main workers,4459142,2011
state,8,Rural,Male,Main workers,11069837,2011
state,8,Urban,Male,Main workers,4173700,2011
state,9,Rural,Male,Main workers,27812347,2011
state,9,Urban,Male,Main workers,9607952,2011
state,10,Rural,Male,Main workers,14988080,2011
state,10,Urban,Male,Main workers,2282610,2011
state,11,Rural,Male,Main workers,119014,2011
state,11,Urban,Male,Main workers,41499,2011
state,12,Rural,Male,Main workers,223929,2011
state,12,Urban,Male,Main workers,77180,2011
state,13,Rural,Male,Main workers,316384,2011
state,13,Urban,Male,Main workers,125820,2011
state,14,Rural,Male,Main workers,442482,2011
state,14,Urban,Male,Main workers,172653,2011
state,15,Rural,Male,Main workers,134888,2011
state,15,Urban,Male,Main workers,128417,2011
state,16,Rural,Male,Main workers,637023,2011
state,16,Urban,Male,Main workers,250858,2011
state,17,Rural,Male,Main workers,455430,2011
state,17,Urban,Male,Main workers,130090,2011
state,18,Rural,Male,Main workers,5880174,2011
state,18,Urban,Male,Main workers,1154468,2011
state,19,Rural,Male,Main workers,14019915,2011
state,19,Urban,Male,Main workers,7658364,2011
state,20,Rural,Male,Main workers,3563422,2011
state,20,Urban,Male,Main workers,1671020,2011
state,21,Rural,Male,Main workers,7045991,2011
state,21,Urban,Male,Main workers,1748422,2011
state,22,Rural,Male,Main workers,4114031,2011
state,22,Urban,Male,Main workers,1483423,2011
state,23,Rural,Male,Main workers,11488183,2011
state,23,Urban,Male,Main workers,4873882,2011
state,24,Rural,Male,Main workers,9141339,2011
