,STATE NAME,JUVENILE CRIME (2014),JUVENILE CRIME (2015),JUVENILE CRIME (2016),JUVENILE CRIME (PER SHARE),JUVENILE CRIME (RATE)
0,ANDHRA PRADESH,883,1015,809,2.3,5.2
1,ARUNACHAL PRADESH,81,66,57,0.2,12.1
2,ASSAM,487,624,436,1.2,3.7
3,BIHAR,4371,1658,2335,6.5,5.2
4,CHHATTISGARH,1691,1914,1953,5.4,19.4
5,GOA,64,28,21,0.1,4
6,GUJARAT,4380,1577,1681,4.7,8.1
7,HARYANA,1041,1098,1186,3.3,12.8
8,HIMACHAL PRADESH,272,195,204,0.6,9.4
9,JAMMU & KASHMIR,102,181,198,0.6,4.4
10,JHARKHAND,150,124,140,0.4,1.1
11,KARNATAKA,412,446,453,1.3,2.3
12,KERALA,1203,1398,628,1.8,6.7
13,MADHYA PRADESH,6512,6583,7369,20.6,24.5
14,MAHARASHTRA,5407,5693,6606,18.4,17.5
15,MANIPUR,23,17,10,0,1
16,MEGHALAYA,125,111,84,0.2,8.4
17,MIZORAM,44,41,53,0.1,14.3
18,NAGALAND,10,17,18,0.1,2.7
19,ODISHA,838,934,994,2.8,7.1
20,PUNJAB,277,111,117,0.3,1.3
21,RAJASTHAN,2309,2203,2273,6.3,8
22,SIKKIM,19,41,27,0.1,13.5
23,TAMIL NADU,1549,1814,2217,6.2,11
24,TELANGANA,931,1252,998,2.8,8.9
25,TRIPURA,64,37,25,0.1,2
26,UTTAR PRADESH,1397,1006,1438,4,1.6
27,UTTARAKHAND,123,127,124,0.3,3.2
28,WEST BENGAL,1566,562,709,2,2.4
30,ANDAMAN & NICOBAR ISLANDS,14,13,12,0,8.6
31,CHANDIGARH,116,100,96,0.3,24
32,DADRA & NAGAR HAVELI,6,17,0,0,0
33,DAMAN & DIU,2,3,7,0,7.8
34,NCT OF DELHI,1969,2366,2499,7,44.6
35,LAKSHADWEEP,1,0,0,0,0
36,PUDUCHERRY,16,61,72,0.2,15.3
