,STATE NAME,MURDERED CHILD (MALE),MURDERED CHILD (FEMALE),MURDERED CHILD TOTAL (TOTAL),MURDERED ADULT (MALE),MURDERED ADULT (FEMALE),MURDERED ADULT TOTAL (TOTAL),MURDERED TOTAL (MALE),MURDERED TOTAL (FEMALE),MURDERED TOTAL (TOTAL)
0,ANDHRA PRADESH,29.0,30.0,59.0,730.0,398.0,1128.0,759.0,428.0,1187
1,ARUNACHAL PRADESH,0.0,1.0,1.0,38.0,10.0,48.0,38.0,11.0,49
2,ASSAM,26.0,9.0,35.0,897.0,217.0,1114.0,923.0,226.0,1149
3,BIHAR,27.0,6.0,33.0,2240.0,320.0,2560.0,2267.0,326.0,2593
4,CHHATTISGARH,44.0,32.0,76.0,588.0,324.0,912.0,632.0,356.0,988
5,GOA,0.0,3.0,3.0,14.0,13.0,27.0,14.0,16.0,30
6,GUJARAT,55.0,39.0,94.0,826.0,256.0,1082.0,881.0,295.0,1176
7,HARYANA,36.0,28.0,64.0,819.0,207.0,1026.0,855.0,235.0,1090
8,HIMACHAL PRADESH,1.0,2.0,3.0,74.0,26.0,100.0,75.0,28.0,103
9,JAMMU AND KASHMIR,4.0,2.0,6.0,139.0,23.0,162.0,143.0,25.0,168
10,JHARKHAND,10.0,7.0,17.0,1307.0,193.0,1500.0,1317.0,200.0,1517
11,KARNATAKA,46.0,56.0,102.0,999.0,539.0,1538.0,1045.0,595.0,1640
12,KERALA,21.0,20.0,41.0,303.0,87.0,390.0,324.0,107.0,431
13,MADHYA PRADESH,70.0,62.0,132.0,1329.0,607.0,1936.0,1399.0,669.0,2068
14,MAHARASHTRA,99.0,92.0,191.0,1489.0,715.0,2204.0,1588.0,807.0,2395
15,MANIPUR,2.0,2.0,4.0,59.0,16.0,75.0,61.0,18.0,79
16,MEGHALAYA,1.0,3.0,4.0,97.0,9.0,106.0,98.0,12.0,110
17,MIZORAM,1.0,0.0,1.0,17.0,15.0,32.0,18.0,15.0,33
18,NAGALAND,1.0,1.0,2.0,36.0,8.0,44.0,37.0,9.0,46
19,ODISHA,11.0,8.0,19.0,725.0,607.0,1332.0,736.0,615.0,1351
20,PUNJAB,35.0,23.0,58.0,562.0,184.0,746.0,597.0,207.0,804
21,RAJASTHAN,34.0,5.0,39.0,1291.0,241.0,1532.0,1325.0,246.0,1571
22,SIKKIM,0.0,0.0,0.0,12.0,7.0,19.0,12.0,7.0,19
23,TAMIL NADU,43.0,59.0,102.0,1135.0,446.0,1581.0,1178.0,505.0,1683
24,TELANGANA,27.0,30.0,57.0,710.0,300.0,1010.0,737.0,330.0,1067
25,TRIPURA,2.0,4.0,6.0,78.0,65.0,143.0,80.0,69.0,149
26,UTTAR PRADESH,277.0,236.0,513.0,3494.0,1048.0,4542.0,3771.0,1284.0,5055
27,UTTARAKHAND,3.0,1.0,4.0,138.0,52.0,190.0,141.0,53.0,194
28,WEST BENGAL,30.0,39.0,69.0,1053.0,997.0,2050.0,1083.0,1036.0,2119
30,ANDAMAN AND NICOBAR ISLANDS,1.0,0.0,1.0,7.0,6.0,13.0,8.0,6.0,14
31,CHANDIGARH,0.0,1.0,1.0,23.0,2.0,25.0,23.0,3.0,26
32,DADRA AND NAGAR HAVELI,0.0,0.0,0.0,4.0,1.0,5.0,4.0,1.0,5
33,DAMAN AND DIU,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4
34,DELHI,22.0,15.0,37.0,384.0,124.0,508.0,406.0,139.0,545
35,LAKSHADWEEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,PONDICHERRY,0.0,1.0,1.0,29.0,8.0,37.0,29.0,9.0,38
